source,desired_lower_keV,gain_keV_per_ch,first_nonzero_ch,first_nonzero_energy,first_gt50_ch,first_gt50_energy,first_gt500_ch,first_gt500_energy,ch0_energy,ch0_counts,ch1_energy,ch1_counts,ch2_energy,ch2_counts,ch3_energy,ch3_counts,ch4_energy,ch4_counts,ch5_energy,ch5_counts,ch6_energy,ch6_counts,ch7_energy,ch7_counts,ch8_energy,ch8_counts,ch9_energy,ch9_counts,ch10_energy,ch10_counts,ch11_energy,ch11_counts,ch12_energy,ch12_counts,ch13_energy,ch13_counts,ch14_energy,ch14_counts,ch15_energy,ch15_counts,ch16_energy,ch16_counts,ch17_energy,ch17_counts,ch18_energy,ch18_counts,ch19_energy,ch19_counts,ch20_energy,ch20_counts,ch21_energy,ch21_counts,ch22_energy,ch22_counts,ch23_energy,ch23_counts,ch24_energy,ch24_counts,ch25_energy,ch25_counts
Tl201wTl202_Unsh,28,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,10,17.58,1277,20.51,1488,23.44,1542,26.37,1658,29.30,2106,32.23,3209,35.16,6512,38.09,11174,41.02,11184,43.95,6928,46.88,5497,49.80,7218,52.73,9369,55.66,12486,58.59,20467,61.52,42256,64.45,80122,67.38,112205,70.31,108918,73.24,77572
Rb86_Sh,34,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,16,17.58,2262,20.51,2709,23.44,2654,26.37,2633,29.30,2668,32.23,2600,35.16,2636,38.09,2675,41.02,2900,43.95,3123,46.88,3389,49.80,3715,52.73,3926,55.66,4262,58.59,4613,61.52,4909,64.45,5156,67.38,5442,70.31,5682,73.24,5835
Y88_Sh,40,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,22,17.58,2421,20.51,2725,23.44,2805,26.37,2740,29.30,2841,32.23,2825,35.16,2900,38.09,2908,41.02,2926,43.95,3332,46.88,3519,49.80,3824,52.73,4081,55.66,4440,58.59,4736,61.52,5120,64.45,5223,67.38,5682,70.31,5840,73.24,6095
Tl204_Unsh,28,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,14,17.58,1370,20.51,1469,23.44,1585,26.37,1566,29.30,1676,32.23,2389,35.16,4375,38.09,7029,41.02,7606,43.95,6182,46.88,6264,49.80,8063,52.73,10464,55.66,13065,58.59,19038,61.52,31962,64.45,54547,67.38,72826,70.31,71213,73.24,56006
At211_Unsh,33,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,8,17.58,1238,20.51,1394,23.44,1408,26.37,1479,29.30,1461,32.23,1470,35.16,1530,38.09,2101,41.02,3830,43.95,7607,46.88,10783,49.80,10568,52.73,8739,55.66,9248,58.59,11754,61.52,13783,64.45,17651,67.38,30238,70.31,58857,73.24,98485
Co56_Sh,39,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,33,17.58,2449,20.51,2641,23.44,2694,26.37,2652,29.30,2696,32.23,2816,35.16,2773,38.09,2795,41.02,3019,43.95,3138,46.88,3431,49.80,3761,52.73,4004,55.66,4430,58.59,4534,61.52,5001,64.45,5050,67.38,5626,70.31,5791,73.24,6037
Xe133_Unsh,19,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,6,17.58,1326,20.51,1618,23.44,5550,26.37,40349,29.30,90320,32.23,56718,35.16,21320,38.09,5707,41.02,2268,43.95,3640,46.88,7041,49.80,10032,52.73,9277,55.66,7823,58.59,7961,61.52,9361,64.45,10771,67.38,14999,70.31,27687,73.24,55350
Mo99_Unsh,30,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,15,17.58,2013,20.51,1877,23.44,1520,26.37,1487,29.30,1441,32.23,1660,35.16,2345,38.09,3319,41.02,3278,43.95,2762,46.88,2681,49.80,2765,52.73,3019,55.66,3499,58.59,3941,61.52,4361,64.45,4534,67.38,4795,70.31,5100,73.24,5232
Au198_Unsh,34,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,27,17.58,2870,20.51,3196,23.44,3166,26.37,3209,29.30,3298,32.23,3224,35.16,3408,38.09,3582,41.02,3778,43.95,3717,46.88,3927,49.80,4254,52.73,4572,55.66,4961,58.59,5355,61.52,6179,64.45,7563,67.38,8658,70.31,8835,73.24,8085
Cd109_Sh,40,2.9296875,5,14.65,6,17.58,6,17.58,0.00,0,2.93,0,5.86,0,8.79,0,11.72,0,14.65,13,17.58,1187,20.51,1312,23.44,1309,26.37,1377,29.30,1392,32.23,1421,35.16,1445,38.09,1480,41.02,1673,43.95,2132,46.88,2838,49.80,4386,52.73,7305,55.66,11121,58.59,12832,61.52,13298,64.45,13735,67.38,15097,70.31,18560,73.24,25527
