Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.1364,0.000,0.000,0.000,0.000,0.158,0.031
25,3.0793,0.000,0.000,0.000,0.000,3.854,0.930
30,11.956,0.000,0.001,0.000,0.000,16.129,4.599
35,18.599,0.000,0.001,0.000,0.000,34.188,11.271
40,28.005,0.000,0.000,0.000,0.000,53.581,20.082
45,36.141,0.000,0.000,0.000,0.000,72.828,30.221
50,42.806,0.000,0.000,0.000,0.000,113.940,47.674
55,48.167,0.000,0.000,0.000,0.000,120.165,56.659
60,52.468,0.001,0.001,0.000,0.000,123.456,65.233
70,58.746,0.006,0.007,0.000,0.000,128.738,80.392
80,62.946,0.025,0.033,0.000,0.000,151.912,104.252
90,65.837,0.076,0.099,0.000,0.000,143.387,114.120
100,67.870,0.176,0.226,0.000,0.000,146.778,129.113
120,70.332,0.579,0.719,0.000,0.000,165.012,164.515
150,71.341,1.826,2.149,0.000,0.000,160.998,198.411
180,69.666,4.001,4.494,0.000,0.000,175.687,241.328
200,67.032,5.942,6.512,0.000,0.000,172.687,258.227
220,63.524,8.142,8.740,0.000,0.000,167.531,267.926
240,59.525,10.450,11.024,0.000,0.000,165.311,276.356
260,55.362,12.735,13.238,0.000,0.000,163.757,283.755
280,51.278,14.913,15.306,0.000,0.000,157.096,284.005
300,47.411,16.931,17.186,0.000,0.000,141.442,273.539
330,42.062,19.615,19.628,0.000,0.000,154.631,294.552
370,36.156,22.553,22.216,0.000,0.000,161.664,308.206
400,32.473,24.326,23.726,0.000,0.000,160.917,314.461
450,27.510,26.611,25.603,0.000,0.000,152.992,316.310
500,23.688,28.247,26.888,0.000,0.000,139.285,309.031
550,20.700,29.410,27.757,0.000,0.000,139.556,318.798
600,18.327,30.223,28.330,0.000,0.000,123.629,306.244
650,16.413,30.782,28.688,0.000,0.000,117.104,306.104
700,14.842,31.148,28.891,0.000,0.000,97.977,290.414
760,13.303,31.402,28.995,0.000,0.000,109.102,317.465
830,11.849,31.524,28.979,0.000,0.000,100.253,318.493
910,10.524,31.498,28.844,0.000,0.000,96.887,329.201
1000,9.3526,31.320,28.583,0.000,0.000,96.321,345.436
1100,8.3214,31.006,28.208,0.003,0.005,92.861,359.541
1200,7.4918,30.610,27.789,0.016,0.028,89.719,373.609
1300,6.8016,30.170,27.342,0.040,0.070,86.327,386.496
1400,6.2214,29.696,26.883,0.075,0.132,76.761,389.620
1500,5.7241,29.204,26.416,0.121,0.214,81.641,413.666
1600,5.2904,28.704,25.953,0.181,0.321,74.410,419.340
1700,4.9074,28.211,25.496,0.244,0.432,77.555,440.448
1800,4.5660,27.730,25.055,0.309,0.547,71.824,447.864
1900,4.2549,27.271,24.638,0.374,0.662,74.571,468.287
2000,3.9713,26.833,24.242,0.439,0.776,73.000,481.277
2200,3.4765,26.019,23.509,0.565,1.001,70.859,509.335
2400,3.0523,25.298,22.865,0.686,1.214,69.323,537.626
2600,2.6793,24.669,22.312,0.800,1.415,65.409,560.640
2800,2.3365,24.139,21.838,0.905,1.602,64.126,586.749
3000,2.2618,23.463,21.272,1.000,1.770,65.808,635.333
3500,1.5975,23.068,20.546,1.117,1.976,63.961,715.806
4000,1.0429,23.066,20.131,1.181,2.091,62.469,790.670
4500,0.5623,23.325,19.952,1.212,2.146,62.367,892.242
5000,0.2761,23.757,19.952,1.223,2.164,62.011,972.678
6000,0.2467,24.903,20.312,1.213,2.147,63.336,1242.345
7000,0.2264,26.179,20.959,1.191,2.108,63.739,1466.292
8000,0.2126,27.460,21.735,1.173,2.076,65.888,1768.994
10000,0.1980,29.821,23.336,1.162,2.056,68.529,2256.733
12000,0.1941,31.852,24.827,1.182,2.091,72.653,2923.310
20000,0.2200,37.753,29.248,1.413,2.501,91.960,6314.688
50000,0.3495,48.377,36.385,2.285,4.044,138.069,20162.305
100000,0.4774,54.902,39.803,3.125,5.530,184.125,41465.645
