Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.0090,0.000,0.000,0.000,0.000,0.010,0.002
25,0.0963,0.000,0.000,0.000,0.000,0.107,0.027
30,0.3479,0.000,0.000,0.000,0.000,0.390,0.116
35,0.9104,0.000,0.000,0.000,0.000,1.051,0.359
40,2.4057,0.001,0.001,0.000,0.000,2.971,1.116
45,5.6760,0.004,0.005,0.000,0.000,7.862,3.111
50,10.879,0.015,0.019,0.000,0.000,16.651,6.913
55,17.423,0.043,0.054,0.000,0.000,29.632,12.862
60,24.499,0.099,0.121,0.000,0.000,45.742,20.773
70,37.892,0.325,0.378,0.000,0.000,72.475,37.825
80,48.599,0.728,0.806,0.000,0.000,91.565,55.466
90,56.364,1.336,1.410,0.000,0.000,104.790,72.447
100,61.529,2.205,2.221,0.000,0.000,112.639,87.582
120,65.479,4.918,4.612,0.000,0.000,120.074,112.426
150,61.287,10.923,9.576,0.000,0.000,122.977,136.709
180,52.868,17.388,14.559,0.000,0.000,120.989,150.880
200,47.238,21.254,17.380,0.000,0.000,119.664,157.928
220,42.150,24.606,19.735,0.000,0.000,116.342,161.226
240,37.698,27.445,21.661,0.000,0.000,113.297,163.683
260,33.894,29.812,23.217,0.000,0.000,110.788,166.326
280,30.640,31.777,24.468,0.000,0.000,107.424,167.596
300,27.857,33.400,25.474,0.000,0.000,103.267,167.992
330,24.404,35.318,26.632,0.000,0.000,102.673,174.383
370,20.823,37.144,27.704,0.000,0.000,100.282,180.457
400,18.709,38.109,28.256,0.000,0.000,98.941,186.422
450,15.967,39.165,28.838,0.000,0.000,96.301,196.072
500,13.905,39.755,29.141,0.000,0.000,90.541,201.560
550,12.321,40.023,29.273,0.000,0.000,90.259,213.879
600,11.054,40.093,29.302,0.000,0.000,82.686,216.138
650,10.024,40.023,29.246,0.000,0.000,79.367,223.753
700,9.2414,39.784,29.129,0.000,0.000,75.024,230.886
760,8.5053,39.382,28.942,0.000,0.000,77.283,249.003
830,7.8318,38.829,28.669,0.000,0.000,72.514,259.715
910,7.2230,38.149,28.332,0.000,0.000,70.405,276.265
1000,6.7000,37.341,27.931,0.000,0.000,68.691,295.176
1100,6.2528,36.430,27.469,0.001,0.003,66.399,315.095
1200,5.9094,35.516,26.999,0.006,0.014,64.299,334.473
1300,5.6406,34.610,26.508,0.015,0.035,62.355,353.369
1400,5.3216,33.592,25.865,0.029,0.065,59.302,368.168
1500,4.9969,32.567,25.205,0.047,0.106,58.581,384.188
1600,4.7130,31.588,24.562,0.073,0.163,56.069,397.360
1700,4.4574,30.666,23.959,0.101,0.224,55.428,412.560
1800,4.2277,29.795,23.391,0.129,0.288,53.361,425.419
1900,4.0203,28.974,22.849,0.158,0.352,52.889,440.490
2000,3.8326,28.198,22.330,0.187,0.417,51.688,453.495
2200,3.5059,26.773,21.376,0.245,0.546,49.716,480.308
2400,3.2313,25.499,20.504,0.301,0.672,48.045,506.408
2600,2.9953,24.362,19.714,0.355,0.792,46.150,530.170
2800,2.8192,23.892,19.187,0.363,0.810,45.047,559.144
3000,2.5133,23.409,18.720,0.402,0.898,44.681,591.118
3500,1.5322,23.051,17.768,0.455,1.017,43.157,662.479
4000,0.8852,23.031,17.051,0.491,1.095,42.079,735.125
4500,0.9802,23.262,16.530,0.513,1.144,42.741,862.965
5000,1.0520,23.306,16.154,0.525,1.172,42.239,951.985
6000,1.0786,23.359,15.743,0.542,1.210,42.945,1198.755
7000,1.0829,23.767,15.642,0.546,1.220,42.591,1390.648
8000,1.0799,24.343,15.762,0.546,1.219,43.927,1671.929
10000,1.0743,24.244,16.415,0.545,1.217,48.253,2310.309
12000,1.0790,25.491,17.269,0.549,1.225,51.609,3108.675
20000,1.1831,29.659,20.617,0.604,1.348,54.196,5497.250
50000,1.7076,38.637,27.785,0.873,1.948,73.731,18094.639
100000,2.2924,44.716,31.939,1.172,2.616,87.477,39788.727
