Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.5813,0.000,0.000,0.000,0.000,0.595,0.089
20,10.715,0.000,0.000,0.000,0.000,12.116,2.382
25,28.956,0.000,0.000,0.000,0.000,57.828,13.014
30,44.280,0.000,0.000,0.000,0.000,155.633,39.274
35,43.060,0.000,0.000,0.000,0.000,260.849,74.169
40,49.936,0.000,0.000,0.000,0.000,335.920,107.473
45,55.128,0.000,0.000,0.000,0.000,380.451,135.045
50,59.152,0.000,0.000,0.000,0.000,346.238,134.437
55,62.342,0.000,0.000,0.000,0.000,354.988,151.844
60,64.918,0.000,0.000,0.000,0.000,355.334,166.314
70,68.773,0.003,0.003,0.000,0.000,333.108,186.236
80,71.464,0.013,0.014,0.000,0.000,300.428,192.427
90,73.395,0.042,0.046,0.000,0.000,287.099,208.669
100,74.806,0.101,0.113,0.000,0.000,258.419,211.525
120,76.607,0.373,0.414,0.000,0.000,224.393,221.713
150,77.423,1.347,1.450,0.000,0.000,207.089,254.823
180,76.728,3.144,3.250,0.000,0.000,190.328,280.334
200,75.463,4.805,4.836,0.000,0.000,185.999,298.988
220,73.599,6.794,6.672,0.000,0.000,180.875,312.443
240,71.207,9.037,8.683,0.000,0.000,176.544,323.614
260,68.411,11.436,10.784,0.000,0.000,173.822,334.736
280,65.375,13.893,12.893,0.000,0.000,170.472,342.698
300,62.240,16.323,14.944,0.000,0.000,166.233,348.176
330,57.578,19.797,17.820,0.000,0.000,165.766,361.768
370,51.774,23.945,21.174,0.000,0.000,160.962,369.105
400,47.816,26.647,23.311,0.000,0.000,158.344,377.188
450,42.167,30.409,26.221,0.000,0.000,152.292,386.398
500,37.525,33.357,28.447,0.000,0.000,142.797,387.793
550,33.707,35.655,30.142,0.000,0.000,138.485,396.536
600,30.552,37.439,31.434,0.000,0.000,127.011,391.862
650,27.915,38.829,32.423,0.000,0.000,119.832,394.315
700,25.692,39.902,33.175,0.000,0.000,112.032,397.297
760,23.450,40.876,33.850,0.000,0.000,114.051,419.608
830,21.287,41.675,34.388,0.000,0.000,107.599,429.444
910,19.272,42.262,34.777,0.000,0.000,103.806,447.273
1000,17.440,42.623,34.996,0.000,0.000,100.689,468.759
1100,15.782,42.766,35.065,0.005,0.006,96.716,492.005
1200,14.413,42.705,34.985,0.030,0.032,93.090,514.755
1300,13.265,42.490,34.807,0.075,0.082,89.695,537.222
1400,12.306,42.137,34.542,0.142,0.155,84.650,556.519
1500,11.485,41.693,34.217,0.232,0.254,84.565,583.052
1600,10.762,41.182,33.840,0.351,0.384,80.705,602.616
1700,10.119,40.643,33.443,0.477,0.522,80.474,627.915
1800,9.5466,40.090,33.035,0.608,0.665,77.352,647.957
1900,9.0283,39.535,32.636,0.741,0.811,77.336,673.568
2000,8.5552,38.987,32.232,0.876,0.958,75.807,694.990
2200,7.7242,37.930,31.462,1.142,1.249,73.480,740.331
2400,7.0137,36.945,30.753,1.402,1.533,71.597,785.595
2600,6.4033,36.039,30.103,1.650,1.805,68.981,826.392
2800,5.7824,35.307,29.514,1.886,2.062,67.458,867.502
3000,5.6756,34.222,28.693,2.103,2.300,67.829,940.684
3500,4.4671,33.692,27.655,2.393,2.617,65.933,1065.660
4000,3.4767,33.691,26.972,2.573,2.814,64.226,1179.379
4500,2.6447,34.046,26.551,2.676,2.927,64.353,1339.041
5000,1.9059,34.653,26.360,2.729,2.984,63.337,1449.685
6000,0.8014,36.299,26.483,2.749,3.007,64.740,1815.757
7000,0.7629,38.010,27.045,2.722,2.977,65.045,2144.633
8000,0.7329,39.737,27.825,2.687,2.938,67.595,2609.129
10000,0.6962,42.928,29.624,2.643,2.890,68.982,3295.371
12000,0.6827,45.650,31.404,2.646,2.894,73.548,4310.269
20000,0.7343,53.422,36.989,2.944,3.219,91.656,9377.939
50000,1.0521,65.953,44.821,4.278,4.678,125.901,29423.604
100000,1.3897,72.008,46.756,5.659,6.188,147.236,61961.180
