Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0483,0.000,0.000,0.000,0.000,0.049,0.005
15,0.4564,0.000,0.000,0.000,0.000,0.519,0.078
20,8.5671,0.000,0.000,0.000,0.000,9.468,1.880
25,26.424,0.000,0.000,0.000,0.000,29.032,7.155
30,44.391,0.000,0.000,0.000,0.000,49.209,14.544
35,58.233,0.000,0.000,0.000,0.000,65.512,22.353
40,68.026,0.000,0.000,0.000,0.000,77.582,30.035
45,74.834,0.001,0.000,0.000,0.000,86.794,37.438
50,79.600,0.003,0.001,0.000,0.000,92.226,44.041
55,82.994,0.010,0.006,0.000,0.000,97.257,50.813
60,85.448,0.029,0.021,0.000,0.000,102.283,57.882
70,88.558,0.144,0.124,0.000,0.000,109.102,71.575
80,90.171,0.438,0.389,0.000,0.000,113.529,84.848
90,90.840,0.971,0.857,0.000,0.000,118.580,98.888
100,90.838,1.764,1.528,0.000,0.000,121.649,111.676
120,89.262,4.157,3.399,0.000,0.000,130.777,139.370
150,83.449,9.604,7.235,0.000,0.000,142.010,175.880
180,75.031,16.289,11.568,0.000,0.000,151.010,205.557
200,69.097,20.760,14.311,0.000,0.000,154.935,221.371
220,63.430,24.932,16.779,0.000,0.000,154.808,231.107
240,58.235,28.694,18.934,0.000,0.000,154.658,239.770
260,53.592,32.003,20.784,0.000,0.000,153.334,246.610
280,49.479,34.882,22.362,0.000,0.000,149.405,249.803
300,45.856,37.368,23.703,0.000,0.000,144.179,251.575
330,41.222,40.458,25.351,0.000,0.000,142.945,260.937
370,36.302,43.565,27.020,0.000,0.000,137.829,267.844
400,33.406,45.247,27.975,0.000,0.000,136.897,278.951
450,29.587,47.249,29.165,0.000,0.000,135.118,297.530
500,26.686,48.531,30.002,0.000,0.000,126.327,306.561
550,24.430,49.314,30.611,0.000,0.000,129.048,331.291
600,22.624,49.742,31.048,0.000,0.000,115.609,332.678
650,21.178,49.923,31.354,0.000,0.000,111.653,347.099
700,19.870,50.044,31.560,0.000,0.000,106.405,359.893
760,18.517,50.059,31.716,0.000,0.000,112.243,392.487
830,17.201,49.915,31.815,0.000,0.000,103.695,406.691
910,15.963,49.599,31.850,0.000,0.000,101.428,433.825
1000,14.849,49.086,31.793,0.000,0.000,99.554,464.470
1100,13.846,48.408,31.638,0.002,0.002,97.167,496.934
1200,13.017,47.655,31.432,0.013,0.013,95.080,528.706
1300,12.314,46.856,31.176,0.033,0.033,93.263,559.711
1400,11.569,45.822,30.715,0.063,0.063,89.875,584.614
1500,10.855,44.706,30.159,0.103,0.103,89.183,610.726
1600,10.219,43.604,29.604,0.161,0.160,86.293,632.866
1700,9.6464,42.543,29.049,0.222,0.221,85.534,657.397
1800,9.1288,41.524,28.511,0.286,0.284,83.157,678.866
1900,8.6571,40.549,27.990,0.351,0.349,82.693,703.210
2000,8.2272,39.617,27.481,0.417,0.414,81.342,724.461
2200,7.4695,37.880,26.529,0.548,0.544,79.206,768.612
2400,6.8260,36.301,25.632,0.675,0.671,77.329,811.569
2600,6.2631,34.877,24.822,0.798,0.793,75.080,850.196
2800,5.9358,34.295,24.294,0.818,0.813,73.897,898.291
3000,5.5291,33.546,23.724,0.911,0.906,73.839,953.870
3500,3.9698,33.161,22.692,1.035,1.029,72.421,1072.521
4000,2.5934,33.210,21.880,1.119,1.112,71.101,1176.863
4500,1.7485,33.581,21.257,1.173,1.165,71.657,1334.553
5000,1.8712,34.195,20.809,1.204,1.196,72.019,1492.505
6000,1.9267,35.113,20.282,1.248,1.240,74.737,1912.493
7000,1.9403,35.402,20.133,1.262,1.254,74.492,2210.360
8000,1.9384,35.150,20.271,1.264,1.256,75.834,2593.955
10000,1.9311,34.796,20.965,1.263,1.255,75.002,3142.631
12000,1.9366,36.424,21.937,1.269,1.261,156.860,9873.511
20000,2.0929,41.761,25.835,1.376,1.367,92.747,8020.478
50000,2.8883,52.757,33.745,1.902,1.890,125.943,25449.186
100000,3.7833,59.372,37.790,2.492,2.476,148.872,55178.027
