z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,independent_spontaneous_fy,unc_isf,Extraction_date
1,1,H,92,238,U,0,,,0.000023537,0.000008116,0.000013012,0.000004593,,,2024-11-18
1,2,H,92,238,U,0,,,0.0000071932,0.0000024257,0.0000039766,0.0000013751,,,2024-11-18
1,3,H,92,238,U,0,,,0.00010262,0.000032419,0.00006499,0.000024901,,,2024-11-18
2,3,He,92,238,U,0,,,0,0,0,0,,,2024-11-18
2,4,He,92,238,U,0,,,0.001488,0.00045467,0.0008226,0.00011174,,,2024-11-18
21,54,Sc,92,238,U,0,,,,,0.0000000000012078,0.00000000000041148,,,2024-11-18
21,55,Sc,92,238,U,0,,,,,0.0000000000016296,0.00000000000060138,,,2024-11-18
21,56,Sc,92,238,U,0,,,,,0.0000000000010823,0.00000000000041628,,,2024-11-18
22,54,Ti,92,238,U,0,,,,,0.0000000000034392,0.00000000000067162,,,2024-11-18
22,55,Ti,92,238,U,0,,,,,0.000000000010013,0.0000000000021047,,,2024-11-18
22,56,Ti,92,238,U,0,,,,,0.000000000024014,0.0000000000061964,,,2024-11-18
22,57,Ti,92,238,U,0,,,,,0.00000000003033,0.000000000010505,,,2024-11-18
22,58,Ti,92,238,U,0,,,,,0.000000000032186,0.000000000011965,,,2024-11-18
22,59,Ti,92,238,U,0,,,,,0.000000000016889,0.0000000000065542,,,2024-11-18
22,60,Ti,92,238,U,0,,,,,0.0000000000068446,0.0000000000027303,,,2024-11-18
22,61,TI,92,238,U,0,,,,,0.0000000000014725,0.00000000000057429,,,2024-11-18
23,54,V,92,238,U,0,,,,,0,0,,,2024-11-18
23,55,V,92,238,U,0,,,,,0.0000000000046183,0.000000000001485,,,2024-11-18
23,56,V,92,238,U,0,,,,,0.000000000023234,0.0000000000061185,,,2024-11-18
23,57,V,92,238,U,0,,,,,0.000000000098743,0.000000000019558,,,2024-11-18
23,58,V,92,238,U,0,,,,,0.00000000022947,0.000000000055527,,,2024-11-18
23,59,V,92,238,U,0,,,,,0.0000000004427,0.00000000013287,,,2024-11-18
23,60,V,92,238,U,0,,,,,0.00000000043576,0.00000000016132,,,2024-11-18
23,61,V,92,238,U,0,,,,,0.00000000037864,0.00000000014412,,,2024-11-18
23,62,V,92,238,U,0,,,,,0.00000000016314,0.000000000063206,,,2024-11-18
23,63,V,92,238,U,0,,,,,0.000000000053099,0.000000000020873,,,2024-11-18
23,64,V,92,238,U,0,,,,,0.000000000008599,0.0000000000033702,,,2024-11-18
23,65,V,92,238,U,0,,,,,0.0000000000011087,0.00000000000043654,,,2024-11-18
