Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
1,1,H,95,241,Am,0,0.00003749,0.000012836,0.00003749,0.000012836,,,2024-11-18
1,2,H,95,241,Am,0,0.000011457,0.0000038377,0.000011457,0.0000038377,,,2024-11-18
1,3,H,95,241,Am,0,0.000165,0.000050513,0.000165,0.000050513,,,2024-11-18
2,3,He,95,241,Am,0,0,0,0,0,,,2024-11-18
2,4,He,95,241,Am,0,0.00237,0.00071793,0.00237,0.00071793,,,2024-11-18
24,58,Cr,95,241,Am,0,0.0000000000020913,0.0000000000006691,0.000000000017689,0.0000000000034912,,,2024-11-18
24,59,Cr,95,241,Am,0,0.0000000000055538,0.0000000000018891,0.000000000047228,0.0000000000098521,,,2024-11-18
24,60,Cr,95,241,Am,0,0.000000000012033,0.0000000000045641,0.00000000010266,0.000000000026326,,,2024-11-18
24,61,Cr,95,241,Am,0,0.000000000013172,0.0000000000058145,0.00000000011621,0.000000000040251,,,2024-11-18
24,62,Cr,95,241,Am,0,0.000000000011619,0.0000000000053389,0.00000000010887,0.000000000040532,,,2024-11-18
24,63,Cr,95,241,Am,0,0.000000000005094,0.0000000000023968,0.000000000049758,0.00000000001933,,,2024-11-18
24,64,Cr,95,241,Am,0,0.0000000000016784,0.00000000000079815,0.000000000017283,0.0000000000068915,,,2024-11-18
25,58,Mn,95,241,Am,0,0,0,0.0000000000020332,0.00000000000076849,,,2024-11-18
25,59,Mn,95,241,Am,0,0.0000000000031373,0.0000000000012613,0.000000000020937,0.0000000000067888,,,2024-11-18
25,60,Mn,95,241,Am,0,0.0000000000014694,0.00000000000052667,0.0000000000087185,0.0000000000023094,,,2024-11-18
25,60,Mn,95,241,Am,1,0.000000000013051,0.0000000000046776,0.000000000088695,0.000000000023494,,,2024-11-18
25,61,Mn,95,241,Am,0,0.000000000055022,0.000000000018085,0.00000000037848,0.000000000074963,,,2024-11-18
25,62,Mn,95,241,Am,0,0.000000000093462,0.000000000035046,0.00000000068576,0.00000000016689,,,2024-11-18
25,62,Mn,95,241,Am,1,0.000000000016778,0.0000000000062916,0.00000000010739,0.000000000026136,,,2024-11-18
25,63,Mn,95,241,Am,0,0.00000000018495,0.00000000007754,0.0000000013643,0.00000000041377,,,2024-11-18
25,64,Mn,95,241,Am,0,0.00000000015396,0.0000000000709,0.0000000011804,0.00000000043898,,,2024-11-18
25,65,Mn,95,241,Am,0,0.00000000011073,0.000000000051443,0.0000000008867,0.00000000033843,,,2024-11-18
25,66,Mn,95,241,Am,0,0.000000000038713,0.000000000018061,0.00000000032597,0.00000000012642,,,2024-11-18
25,67,Mn,95,241,Am,0,0.0000000000098423,0.0000000000046153,0.000000000088687,0.000000000034809,,,2024-11-18
25,68,Mn,95,241,Am,0,0.0000000000011904,0.00000000000056494,0.000000000011761,0.0000000000046241,,,2024-11-18
26,58,Fe,95,241,Am,0,0,0,0,0,,,2024-11-18
26,59,Fe,95,241,Am,0,0,0,0,0,,,2024-11-18
26,60,Fe,95,241,Am,0,0.0000000000021343,0.00000000000096671,0.000000000009825,0.0000000000037232,,,2024-11-18
26,61,Fe,95,241,Am,0,0.000000000018081,0.0000000000077699,0.000000000086654,0.000000000031131,,,2024-11-18
26,62,Fe,95,241,Am,0,0.0000000001243,0.000000000044912,0.00000000062837,0.00000000017588,,,2024-11-18
26,63,Fe,95,241,Am,0,0.00000000044644,0.00000000014769,0.0000000023089,0.00000000051433,,,2024-11-18
26,64,Fe,95,241,Am,0,0.0000000013058,0.00000000042399,0.0000000069357,0.0000000013146,,,2024-11-18
26,65,Fe,95,241,Am,0,0.0000000021787,0.00000000082661,0.00000001189,0.0000000030546,,,2024-11-18
26,66,Fe,95,241,Am,0,0.000000002976,0.0000000012564,0.000000016807,0.0000000053299,,,2024-11-18
26,67,Fe,95,241,Am,0,0.0000000019442,0.00000000089004,0.0000000116,0.0000000043266,,,2024-11-18
26,68,Fe,95,241,Am,0,0.00000000099791,0.00000000047128,0.0000000064666,0.000000002512,,,2024-11-18
