z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,Extraction_date
1,1,H,92,235,U,0,0.00001711,0.0000029483,0.000026891,0.0000091812,0.000026369,0.0000090796,2024-03-14
1,2,H,92,235,U,0,0.0000084,0.0000024389,0.0000082182,0.0000027419,0.0000080587,0.0000027139,2024-03-14
1,3,H,92,235,U,0,0.000108,0.0000058635,0.000108,0.000015035,0.0001742,0.000062493,2024-03-14
2,3,He,92,235,U,0,0,0,0,0,0,0,2024-03-14
2,4,He,92,235,U,0,0.0017,0.000081347,0.0017,0.00017553,0.001667,0.00014144,2024-03-14
2,6,He,92,235,U,0,0.00002668,0.0000048784,,,,,2024-03-14
3,6,Li,92,235,U,0,0,0,,,,,2024-03-14
3,8,Li,92,235,U,0,0.0000007292,0.0000002368,,,,,2024-03-14
3,9,Li,92,235,U,0,0.0000004071,0.00000010491,,,,,2024-03-14
4,8,Be,92,235,U,0,0.0000007292,0.00000016507,,,,,2024-03-14
4,9,Be,92,235,U,0,0.0000004071,0.00000016535,,,,,2024-03-14
4,10,Be,92,235,U,0,0.000005201,0.00000090853,,,,,2024-03-14
4,12,Be,92,235,U,0,0.0000001261,0.000000044982,,,,,2024-03-14
5,9,B,92,235,U,0,0.0000004071,0.00000011018,,,,,2024-03-14
5,10,B,92,235,U,0,0.000005201,0.00000089948,,,,,2024-03-14
5,12,B,92,235,U,0,0.0000001261,0.000000055747,,,,,2024-03-14
6,12,C,92,235,U,0,0,0,,,,,2024-03-14
6,14,C,92,235,U,0,0.000001578,0.00000047597,,,,,2024-03-14
6,15,C,92,235,U,0,0.0000002528,0.000000049177,,,,,2024-03-14
7,15,N,92,235,U,0,0,0,,,,,2024-03-14
10,21,Ne,92,235,U,0,0.000001,0,,,,,2024-03-14
25,64,Mn,92,235,U,0,0.000000000001206,0.00000000000045461,,,0.00000000032337,0.0000000001252,2024-03-14
25,65,Mn,92,235,U,0,0.0000000000022914,0.00000000000088339,,,0.00000000014836,0.000000000056985,2024-03-14
25,66,Mn,92,235,U,0,0.0000000000018906,0.00000000000072988,,,0.000000000025392,0.000000000010317,2024-03-14
25,67,Mn,92,235,U,0,0.0000000000012634,0.00000000000048778,,,0.0000000000059502,0.0000000000022738,2024-03-14
26,64,Fe,92,235,U,0,0.0000000000063759,0.0000000000010989,0.0000000000073602,0.0000000000014838,0.000000039136,0.000000014532,2024-03-14
26,65,Fe,92,235,U,0,0.000000000025528,0.0000000000049825,0.000000000019996,0.0000000000058566,0.000000021839,0.0000000083079,2024-03-14
26,66,Fe,92,235,U,0,0.000000000084889,0.000000000020406,0.000000000041079,0.000000000014419,0.0000000151,0.0000000061195,2024-03-14
26,67,Fe,92,235,U,0,0.00000000013356,0.000000000045004,0.000000000040473,0.000000000015506,0.0000000044025,0.0000000016817,2024-03-14
26,68,Fe,92,235,U,0,0.00000000015561,0.000000000058713,0.00000000002852,0.000000000011312,0.0000000015248,0.00000000058227,2024-03-14
26,69,Fe,92,235,U,0,0.000000000084464,0.000000000033712,0.000000000010302,0.0000000000040937,0.00000000020111,0.000000000078641,2024-03-14
26,70,Fe,92,235,U,0,0.000000000035283,0.000000000014416,0.000000000002485,0.00000000000097567,0.00000000003549,0.000000000013716,2024-03-14
26,71,Fe,92,235,U,0,0.0000000000078807,0.0000000000030742,,,0.0000000000024381,0.00000000000093626,2024-03-14
26,72,Fe,92,235,U,0,0.0000000000012824,0.00000000000048934,,,,,2024-03-14
27,64,Co,92,235,U,0,0,0,0.0000000000031625,0.0000000000010386,0.00000021268,0.00000006169,2024-03-14
