Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
26,72,Fe,93,237,Np,0,0.0000000000011946,0.00000000000045884,,,,,2024-11-18
27,61,Co,93,237,Np,0,0,0,,,,,2024-11-18
27,62,Co,93,237,Np,0,0,0,,,,,2024-11-18
27,63,Co,93,237,Np,0,0.0000000000030691,0.0000000000011756,,,,,2024-11-18
27,64,Co,93,237,Np,0,0.000000000029321,0.000000000010926,,,,,2024-11-18
27,65,Co,93,237,Np,0,0.00000000026419,0.000000000077277,,,,,2024-11-18
27,66,Co,93,237,Np,0,0.0000000011838,0.00000000028439,,,,,2024-11-18
27,67,Co,93,237,Np,0,0.0000000041475,0.00000000095761,,,,,2024-11-18
27,68,Co,93,237,Np,0,0.0000000037747,0.0000000012197,,,,,2024-11-18
27,68,Co,93,237,Np,-2,0.00000000333,0.0000000010759,,,,,2024-11-18
27,69,Co,93,237,Np,0,0.000000010855,0.0000000039706,,,,,2024-11-18
27,70,Co,93,237,Np,0,0.0000000040998,0.0000000015975,,,,,2024-11-18
27,70,Co,93,237,Np,1,0.0000000040998,0.0000000015975,,,,,2024-11-18
27,71,Co,93,237,Np,0,0.0000000053592,0.0000000020674,,,,,2024-11-18
27,72,Co,93,237,Np,0,0.0000000015927,0.00000000061135,,,,,2024-11-18
27,73,Co,93,237,Np,0,0.00000000033622,0.00000000013148,,,,,2024-11-18
27,74,Co,93,237,Np,0,0.00000000003234,0.000000000013138,,,,,2024-11-18
27,75,Co,93,237,Np,0,0.0000000000027286,0.0000000000010837,,,,,2024-11-18
28,61,Ni,93,237,Np,0,0,0,,,,,2024-11-18
28,62,Ni,93,237,Np,0,0,0,,,,,2024-11-18
28,63,Ni,93,237,Np,0,0,0,,,,,2024-11-18
28,64,Ni,93,237,Np,0,0,0,,,,,2024-11-18
28,65,Ni,93,237,Np,0,0.000000000021167,0.0000000000081485,,,,,2024-11-18
28,66,Ni,93,237,Np,0,0.00000000034661,0.00000000012078,,,,,2024-11-18
28,67,Ni,93,237,Np,0,0.0000000026509,0.00000000078801,,,,,2024-11-18
28,68,Ni,93,237,Np,0,0.000000015403,0.0000000031588,,,,,2024-11-18
28,69,Ni,93,237,Np,0,0.00000002528,0.0000000046651,,,,,2024-11-18
28,69,Ni,93,237,Np,1,0.00000002528,0.0000000046651,,,,,2024-11-18
28,70,Ni,93,237,Np,0,0.00000013611,0.000000027174,,,,,2024-11-18
28,71,Ni,93,237,Np,0,0.00000021,0.000000060778,,,,,2024-11-18
28,72,Ni,93,237,Np,0,0.00000024745,0.000000084909,,,,,2024-11-18
28,73,Ni,93,237,Np,0,0.00000013553,0.000000051872,,,,,2024-11-18
28,74,Ni,93,237,Np,0,0.000000055604,0.000000022515,,,,,2024-11-18
28,75,Ni,93,237,Np,0,0.000000012833,0.0000000050951,,,,,2024-11-18
28,76,Ni,93,237,Np,0,0.0000000021973,0.00000000085236,,,,,2024-11-18
28,77,Ni,93,237,Np,0,0.0000000001767,0.000000000068439,,,,,2024-11-18
28,78,Ni,93,237,Np,0,0.0000000000092115,0.0000000000035791,,,,,2024-11-18
29,63,Cu,93,237,Np,0,0,0,,,,,2024-11-18
29,65,Cu,93,237,Np,0,0,0,,,,,2024-11-18
29,66,Cu,93,237,Np,0,0.0000000000019849,0.00000000000076272,,,,,2024-11-18
29,67,Cu,93,237,Np,0,0.000000000060472,0.000000000023346,,,,,2024-11-18
29,68,Cu,93,237,Np,0,0.00000000024954,0.000000000097135,,,,,2024-11-18
29,68,Cu,93,237,Np,3,0.00000000058449,0.00000000022751,,,,,2024-11-18
29,69,Cu,93,237,Np,0,0.0000000098074,0.0000000036225,,,,,2024-11-18
29,70,Cu,93,237,Np,0,0.0000000043287,0.0000000014305,,,,,2024-11-18
29,70,Cu,93,237,Np,1,0.000000048225,0.000000015937,,,,,2024-11-18
29,70,Cu,93,237,Np,3,0.0000000043287,0.0000000014305,,,,,2024-11-18
29,71,Cu,93,237,Np,0,0.00000029748,0.000000070364,,,,,2024-11-18
29,72,Cu,93,237,Np,0,0.00000076223,0.00000018003,,,,,2024-11-18
29,73,Cu,93,237,Np,0,0.0000015173,0.0000004315,,,,,2024-11-18
29,74,Cu,93,237,Np,0,0.0000014998,0.0000005526,,,,,2024-11-18
29,75,Cu,93,237,Np,0,0.000001396,0.00000053351,,,,,2024-11-18
29,76,Cu,93,237,Np,0,0.00000031408,0.00000012088,,,,,2024-11-18
29,76,Cu,93,237,Np,1,0.00000031408,0.00000012088,,,,,2024-11-18
29,77,Cu,93,237,Np,0,0.00000021745,0.000000084115,,,,,2024-11-18
29,78,Cu,93,237,Np,0,0.000000031912,0.000000012398,,,,,2024-11-18
29,79,Cu,93,237,Np,0,0.00000000339,0.0000000013387,,,,,2024-11-18
29,80,Cu,93,237,Np,0,0.00000000014591,0.00000000005747,,,,,2024-11-18
30,66,Zn,93,237,Np,0,0,0,,,,,2024-11-18
30,67,Zn,93,237,Np,0,0,0,,,,,2024-11-18
30,68,Zn,93,237,Np,0,0.0000000000063649,0.0000000000025279,,,,,2024-11-18
30,69,Zn,93,237,Np,0,0.000000000036091,0.000000000014463,0.000000000042079,0.000000000016529,,,2024-11-18
30,69,Zn,93,237,Np,1,0.00000000015609,0.000000000062548,0.00000000020899,0.000000000082091,,,2024-11-18
30,70,Zn,93,237,Np,0,0.0000000043598,0.0000000017175,0.0000000059215,0.0000000023344,,,2024-11-18
30,71,Zn,93,237,Np,0,0.0000000099556,0.0000000036399,0.000000012073,0.0000000045751,,,2024-11-18
30,71,Zn,93,237,Np,1,0.000000043056,0.000000015742,0.000000059961,0.000000022723,,,2024-11-18
30,72,Zn,93,237,Np,0,0.00000047776,0.00000014335,0.00000068992,0.00000023484,,,2024-11-18
30,73,Zn,93,237,Np,0,0.00000020085,0.000000047738,0.00000027643,0.000000079542,,,2024-11-18
