z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,independent_spontaneous_fy,unc_isf,Extraction_date
23,66,V,98,252,Cf,0,,,,,,,1.85674e-17,1.18831e-17,2026-02-19
23,67,V,98,252,Cf,0,,,,,,,4.41524e-18,2.82575e-18,2026-02-19
24,66,Cr,98,252,Cf,0,,,,,,,1.51978e-13,9.72657e-14,2026-02-19
24,67,Cr,98,252,Cf,0,,,,,,,3.06948e-14,1.96447e-14,2026-02-19
24,68,Cr,98,252,Cf,0,,,,,,,0,0,2026-02-19
24,69,Cr,98,252,Cf,0,,,,,,,2.10958e-16,1.35013e-16,2026-02-19
24,70,Cr,98,252,Cf,0,,,,,,,0,0,2026-02-19
24,71,Cr,98,252,Cf,0,,,,,,,3.71648e-18,2.37854e-18,2026-02-19
25,66,Mn,98,252,Cf,0,,,,,,,1.82995e-11,1.17117e-11,2026-02-19
25,67,Mn,98,252,Cf,0,,,,,,,1.00997e-11,6.46384e-12,2026-02-19
25,68,Mn,98,252,Cf,0,,,,,,,3.8799e-12,2.48314e-12,2026-02-19
25,69,Mn,98,252,Cf,0,,,,,,,9.81765e-13,6.28329e-13,2026-02-19
25,70,Mn,98,252,Cf,0,,,,,,,1.47996e-13,9.47176e-14,2026-02-19
25,71,Mn,98,252,Cf,0,,,,,,,1.72959e-14,1.10693e-14,2026-02-19
25,72,Mn,98,252,Cf,0,,,,,,,6.46194e-16,4.13564e-16,2026-02-19
25,73,Mn,98,252,Cf,0,,,,,,,9.99541e-17,6.39706e-17,2026-02-19
26,66,Fe,98,252,Cf,0,,,,,,,2.29994e-10,1.47196e-10,2026-02-19
26,67,Fe,98,252,Cf,0,,,,,,,3.24992e-10,2.07995e-10,2026-02-19
26,68,Fe,98,252,Cf,0,,,,,,,3.18992e-10,2.04155e-10,2026-02-19
26,69,Fe,98,252,Cf,0,,,,,,,2.12995e-10,1.36317e-10,2026-02-19
26,70,Fe,98,252,Cf,0,,,,,,,8.86978e-11,5.67666e-11,2026-02-19
26,71,Fe,98,252,Cf,0,,,,,,,2.80993e-11,1.79836e-11,2026-02-19
26,72,Fe,98,252,Cf,0,,,,,,,5.28922e-12,3.3851e-12,2026-02-19
26,73,Fe,98,252,Cf,0,,,,,,,6.94883e-13,4.44725e-13,2026-02-19
26,74,Fe,98,252,Cf,0,,,,,,,5.91985e-14,3.78871e-14,2026-02-19
26,75,Fe,98,252,Cf,0,,,,,,,3.69499e-15,2.3648e-15,2026-02-19
26,76,Fe,98,252,Cf,0,,,,,,,0,0,2026-02-19
27,66,Co,98,252,Cf,0,,,,,,,2.43994e-10,1.56156e-10,2026-02-19
27,67,Co,98,252,Cf,0,,,,,,,8.22979e-10,5.26707e-10,2026-02-19
27,68,Co,98,252,Cf,0,,,,,,,1.91995e-09,1.22877e-09,2026-02-19
27,69,Co,98,252,Cf,0,,,,,,,3.11992e-09,1.99675e-09,2026-02-19
27,70,Co,98,252,Cf,0,,,,,,,3.35992e-09,2.15035e-09,2026-02-19
27,71,Co,98,252,Cf,0,,,,,,,2.76993e-09,1.77276e-09,2026-02-19
27,72,Co,98,252,Cf,0,,,,,,,1.41996e-09,9.08777e-10,2026-02-19
27,73,Co,98,252,Cf,0,,,,,,,5.04987e-10,3.23192e-10,2026-02-19
27,74,Co,98,252,Cf,0,,,,,,,1.17997e-10,7.55181e-11,2026-02-19
27,75,Co,98,252,Cf,0,,,,,,,1.71959e-11,1.10054e-11,2026-02-19
27,76,Co,98,252,Cf,0,,,,,,,1.78996e-12,1.14557e-12,2026-02-19
27,77,Co,98,252,Cf,0,,,,,,,5.86781e-14,3.7554e-14,2026-02-19
27,78,Co,98,252,Cf,0,,,,,,,1.02609e-14,6.56699e-15,2026-02-19
28,66,Ni,98,252,Cf,0,,,,,,,3.34992e-11,2.14395e-11,2026-02-19
28,67,Ni,98,252,Cf,0,,,,,,,2.75993e-10,1.76636e-10,2026-02-19
28,68,Ni,98,252,Cf,0,,,,,,,1.49996e-09,9.59976e-10,2026-02-19
28,69,Ni,98,252,Cf,0,,,,,,,5.64986e-09,3.61591e-09,2026-02-19
28,70,Ni,98,252,Cf,0,,,,,,,1.45996e-08,9.34377e-09,2026-02-19
28,71,Ni,98,252,Cf,0,,,,,,,2.87993e-08,1.84315e-08,2026-02-19
28,72,Ni,98,252,Cf,0,,,,,,,3.74991e-08,2.39994e-08,2026-02-19
28,73,Ni,98,252,Cf,0,,,,,,,3.39992e-08,2.17595e-08,2026-02-19
28,74,Ni,98,252,Cf,0,,,,,,,2.07995e-08,1.33117e-08,2026-02-19
28,75,Ni,98,252,Cf,0,,,,,,,8.32979e-09,5.33107e-09,2026-02-19
28,76,Ni,98,252,Cf,0,,,,,,,2.35994e-09,1.51036e-09,2026-02-19
28,77,Ni,98,252,Cf,0,,,,,,,4.07931e-10,2.61076e-10,2026-02-19
28,78,Ni,98,252,Cf,0,,,,,,,8.39876e-11,5.37521e-11,2026-02-19
28,79,Ni,98,252,Cf,0,,,,,,,2.03225e-12,1.30064e-12,2026-02-19
28,80,Ni,98,252,Cf,0,,,,,,,2.09995e-13,1.34397e-13,2026-02-19
28,81,Ni,98,252,Cf,0,,,,,,,1.96565e-14,1.25802e-14,2026-02-19
28,82,Ni,98,252,Cf,0,,,,,,,0,0,2026-02-19
29,66,Cu,98,252,Cf,0,,,,,,,3.29992e-13,2.11195e-13,2026-02-19
29,67,Cu,98,252,Cf,0,,,,,,,7.17982e-12,4.59509e-12,2026-02-19
29,68,Cu,98,252,Cf,0,,,,,,,2.93993e-11,1.88155e-11,2026-02-19
29,68,Cu,98,252,Cf,1,,,,,,,6.85983e-11,4.39029e-11,2026-02-19
29,69,Cu,98,252,Cf,0,,,,,,,8.97978e-10,5.74706e-10,2026-02-19
29,70,Cu,98,252,Cf,0,,,,,,,1.39997e-09,8.95978e-10,2026-02-19
29,70,Cu,98,252,Cf,1,,,,,,,4.1999e-09,2.68793e-09,2026-02-19
29,71,Cu,98,252,Cf,0,,,,,,,2.56994e-08,1.64476e-08,2026-02-19
29,72,Cu,98,252,Cf,0,,,,,,,7.9198e-08,5.06867e-08,2026-02-19
29,73,Cu,98,252,Cf,0,,,,,,,1.69996e-07,1.08797e-07,2026-02-19
29,74,Cu,98,252,Cf,0,,,,,,,2.51994e-07,1.61276e-07,2026-02-19
29,75,Cu,98,252,Cf,0,,,,,,,2.58994e-07,1.65756e-07,2026-02-19
29,76,Cu,98,252,Cf,0,,,,,,,1.89995e-07,1.21597e-07,2026-02-19
29,77,Cu,98,252,Cf,0,,,,,,,8.89978e-08,5.69586e-08,2026-02-19
29,78,Cu,98,252,Cf,0,,,,,,,4.93988e-08,3.16152e-08,2026-02-19
29,79,Cu,98,252,Cf,0,,,,,,,9.45773e-09,6.05295e-09,2026-02-19
29,80,Cu,98,252,Cf,0,,,,,,,9.55976e-10,6.11825e-10,2026-02-19
