z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,independent_spontaneous_fy,unc_isf,Extraction_date
23,66,V,96,248,Cm,0,,,,,,,3.0829e-14,1.97306e-14,2026-02-19
23,67,V,96,248,Cm,0,,,,,,,2.41889e-15,1.54809e-15,2026-02-19
23,68,V,96,248,Cm,0,,,,,,,1.30905e-16,8.3779e-17,2026-02-19
24,66,Cr,96,248,Cm,0,,,,,,,3.24969e-10,2.0798e-10,2026-02-19
24,67,Cr,96,248,Cm,0,,,,,,,2.54976e-11,1.63184e-11,2026-02-19
24,68,Cr,96,248,Cm,0,,,,,,,1.37987e-12,8.83116e-13,2026-02-19
24,69,Cr,96,248,Cm,0,,,,,,,2.74141e-14,1.7545e-14,2026-02-19
24,70,Cr,96,248,Cm,0,,,,,,,0,0,2026-02-19
25,66,Mn,96,248,Cm,0,,,,,,,8.48e-08,5.4272e-08,2026-02-19
25,67,Mn,96,248,Cm,0,,,,,,,1.87e-08,1.1968e-08,2026-02-19
25,68,Mn,96,248,Cm,0,,,,,,,2.97e-09,1.9008e-09,2026-02-19
25,69,Mn,96,248,Cm,0,,,,,,,2.88973e-10,1.84942e-10,2026-02-19
25,70,Mn,96,248,Cm,0,,,,,,,2.22e-11,1.4208e-11,2026-02-19
25,71,Mn,96,248,Cm,0,,,,,,,9.98e-13,6.3872e-13,2026-02-19
25,72,Mn,96,248,Cm,0,,,,,,,2.52324e-14,1.61487e-14,2026-02-19
25,73,Mn,96,248,Cm,0,,,,,,,1.3375e-15,8.56003e-16,2026-02-19
26,66,Fe,96,248,Cm,0,,,,,,,1.53e-06,9.792e-07,2026-02-19
26,67,Fe,96,248,Cm,0,,,,,,,8.82e-07,5.6448e-07,2026-02-19
26,68,Fe,96,248,Cm,0,,,,,,,3.89e-07,2.4896e-07,2026-02-19
26,69,Fe,96,248,Cm,0,,,,,,,1.08e-07,6.912e-08,2026-02-19
26,70,Fe,96,248,Cm,0,,,,,,,2.35e-08,1.504e-08,2026-02-19
26,71,Fe,96,248,Cm,0,,,,,,,3.12e-09,1.9968e-09,2026-02-19
26,72,Fe,96,248,Cm,0,,,,,,,2.65975e-10,1.70224e-10,2026-02-19
26,73,Fe,96,248,Cm,0,,,,,,,1.40987e-11,9.02314e-12,2026-02-19
26,74,Fe,96,248,Cm,0,,,,,,,4.96e-13,3.1744e-13,2026-02-19
26,75,Fe,96,248,Cm,0,,,,,,,1.47979e-14,9.47067e-15,2026-02-19
26,76,Fe,96,248,Cm,0,,,,,,,0,0,2026-02-19
