Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
1,1,H,94,239,Pu,0,0.0000408,0.0000070527,0.000034642,0.000011861,,,2024-11-18
1,2,H,94,239,Pu,0,0.00001347,0.0000028929,0.000010587,0.0000035463,,,2024-11-18
1,3,H,94,239,Pu,0,0.000142,0.000010885,0.000142,0.000032699,,,2024-11-18
2,3,He,94,239,Pu,0,0,0,0,0,,,2024-11-18
2,4,He,94,239,Pu,0,0.00219,0.00011783,0.00219,0.00025369,,,2024-11-18
2,6,He,94,239,Pu,0,0.00004098,0.0000052621,,,,,2024-11-18
2,8,He,94,239,Pu,0,0.000000687,0.00000010996,,,,,2024-11-18
3,6,Li,94,239,Pu,0,0,0,,,,,2024-11-18
3,7,Li,94,239,Pu,0,0.0000014,0.00000024201,,,,,2024-11-18
3,8,Li,94,239,Pu,0,0,0,,,,,2024-11-18
3,9,Li,94,239,Pu,0,0.00000114,0.00000019706,,,,,2024-11-18
4,6,Be,94,239,Pu,0,0,0,,,,,2024-11-18
4,8,Be,94,239,Pu,0,0,0,,,,,2024-11-18
4,9,Be,94,239,Pu,0,0.00000114,0.00000021028,,,,,2024-11-18
4,10,Be,94,239,Pu,0,0.0000105,0.000001815,,,,,2024-11-18
4,11,Be,94,239,Pu,0,0.000000752,0.00000020095,,,,,2024-11-18
4,12,Be,94,239,Pu,0,0.000000473,0.00000015903,,,,,2024-11-18
5,11,B,94,239,Pu,0,0,0,,,,,2024-11-18
5,12,B,94,239,Pu,0,0,0,,,,,2024-11-18
6,8,C,94,239,Pu,0,0.000000687,0.00000011876,,,,,2024-11-18
6,12,C,94,239,Pu,0,0,0,,,,,2024-11-18
6,14,C,94,239,Pu,0,0.00000301,0.00000061966,,,,,2024-11-18
24,59,Cr,94,239,Pu,0,0.0000000000010897,0.00000000000023943,0.0000000000047235,0.00000000000095922,,,2024-11-18
24,60,Cr,94,239,Pu,0,0.0000000000026138,0.00000000000071689,0.000000000012852,0.0000000000031201,,,2024-11-18
24,61,Cr,94,239,Pu,0,0.0000000000033751,0.0000000000011776,0.000000000018454,0.0000000000062097,,,2024-11-18
24,62,Cr,94,239,Pu,0,0.0000000000033819,0.0000000000012786,0.000000000021901,0.0000000000080474,,,2024-11-18
24,63,Cr,94,239,Pu,0,0.0000000000018474,0.00000000000072637,0.000000000012533,0.0000000000048456,,,2024-11-18
25,59,Mn,94,239,Pu,0,0,0,0.000000000001762,0.00000000000059071,,,2024-11-18
25,60,Mn,94,239,Pu,0,0.00000000000030759,0.000000000000077346,0.00000000000091881,0.00000000000025625,,,2024-11-18
25,60,Mn,94,239,Pu,1,0.0000000000027318,0.00000000000068694,0.0000000000093472,0.0000000000026068,,,2024-11-18
25,61,Mn,94,239,Pu,0,0.000000000012145,0.0000000000026356,0.000000000050286,0.000000000010131,,,2024-11-18
25,62,Mn,94,239,Pu,0,0.000000000022247,0.0000000000063752,0.00000000011417,0.000000000026476,,,2024-11-18
25,62,Mn,94,239,Pu,1,0.0000000000039939,0.0000000000011445,0.00000000001788,0.0000000000041462,,,2024-11-18
25,63,Mn,94,239,Pu,0,0.000000000047916,0.000000000016244,0.00000000028083,0.000000000081137,,,2024-11-18
25,64,Mn,94,239,Pu,0,0.000000000047127,0.000000000017934,0.000000000302,0.00000000011059,,,2024-11-18
25,65,Mn,94,239,Pu,0,0.000000000040427,0.000000000015473,0.00000000028277,0.00000000010722,,,2024-11-18
25,66,Mn,94,239,Pu,0,0.000000000017878,0.000000000006854,0.0000000001287,0.000000000049813,,,2024-11-18
25,67,Mn,94,239,Pu,0,0.000000000005828,0.0000000000022601,0.000000000043653,0.000000000017173,,,2024-11-18
26,59,Fe,94,239,Pu,0,0,0,0,0,,,2024-11-18
26,60,Fe,94,239,Pu,0,0,0,0,0,,,2024-11-18
26,61,Fe,94,239,Pu,0,0.0000000000054535,0.0000000000017591,0.0000000000095995,0.0000000000035066,,,2024-11-18
26,62,Fe,94,239,Pu,0,0.000000000036079,0.0000000000085336,0.000000000087568,0.000000000025767,,,2024-11-18
26,63,Fe,94,239,Pu,0,0.00000000013556,0.00000000002694,0.00000000039699,0.000000000093016,,,2024-11-18
26,64,Fe,94,239,Pu,0,0.00000000041706,0.000000000081488,0.0000000014699,0.00000000027573,,,2024-11-18
26,65,Fe,94,239,Pu,0,0.00000000078318,0.00000000021052,0.0000000031026,0.00000000075299,,,2024-11-18
26,66,Fe,94,239,Pu,0,0.0000000011756,0.00000000038176,0.0000000053603,0.0000000016263,,,2024-11-18
26,67,Fe,94,239,Pu,0,0.00000000090944,0.00000000033827,0.00000000456,0.0000000016809,,,2024-11-18
26,68,Fe,94,239,Pu,0,0.00000000054362,0.00000000021425,0.0000000031462,0.0000000012109,,,2024-11-18
26,69,Fe,94,239,Pu,0,0.00000000018655,0.000000000073668,0.0000000010915,0.00000000042869,,,2024-11-18
26,70,Fe,94,239,Pu,0,0.000000000048849,0.000000000019057,0.00000000028128,0.000000000111,,,2024-11-18
26,71,Fe,94,239,Pu,0,0.0000000000068056,0.0000000000026396,0.000000000036491,0.000000000014291,,,2024-11-18
27,59,Co,94,239,Pu,0,0,0,0,0,,,2024-11-18
27,61,Co,94,239,Pu,0,0,0,0,0,,,2024-11-18
27,62,Co,94,239,Pu,0,0.00000000000057835,0.00000000000022159,0.00000000000064464,0.00000000000024917,,,2024-11-18
27,62,Co,94,239,Pu,1,0.0000000000013547,0.000000000000519,0.0000000000017572,0.00000000000067918,,,2024-11-18
27,63,Co,94,239,Pu,0,0.000000000023386,0.0000000000086258,0.000000000041062,0.000000000015499,,,2024-11-18
27,64,Co,94,239,Pu,0,0.0000000001504,0.000000000051015,0.00000000034065,0.00000000012322,,,2024-11-18
27,65,Co,94,239,Pu,0,0.00000000086165,0.00000000021869,0.0000000024675,0.00000000068921,,,2024-11-18
27,66,Co,94,239,Pu,0,0.0000000026767,0.00000000060815,0.000000009095,0.0000000020502,,,2024-11-18
27,67,Co,94,239,Pu,0,0.0000000065617,0.0000000016477,0.000000027002,0.0000000055386,,,2024-11-18
27,68,Co,94,239,Pu,0,0.0000000046334,0.0000000015606,0.000000024546,0.0000000070819,,,2024-11-18
27,68,Co,94,239,Pu,-2,0.0000000040875,0.0000000013767,0.000000018321,0.0000000052861,,,2024-11-18
27,69,Co,94,239,Pu,0,0.000000010307,0.0000000037916,0.000000057627,0.000000019711,,,2024-11-18
27,70,Co,94,239,Pu,0,0.0000000032406,0.0000000012416,0.000000018939,0.0000000072225,,,2024-11-18
27,70,Co,94,239,Pu,1,0.0000000032406,0.0000000012416,0.000000018939,0.0000000072225,,,2024-11-18
27,71,Co,94,239,Pu,0,0.0000000033093,0.0000000012785,0.000000020725,0.0000000080518,,,2024-11-18
27,72,Co,94,239,Pu,0,0.00000000085666,0.00000000033024,0.0000000055785,0.0000000021688,,,2024-11-18
27,73,Co,94,239,Pu,0,0.00000000019365,0.000000000075828,0.0000000010945,0.00000000042662,,,2024-11-18
27,74,Co,94,239,Pu,0,0.000000000021907,0.0000000000087879,0.00000000010207,0.000000000040573,,,2024-11-18
27,75,Co,94,239,Pu,0,0.0000000000020848,0.00000000000081473,0.0000000000077303,0.0000000000030221,,,2024-11-18
28,61,Ni,94,239,Pu,0,0,0,0,0,,,2024-11-18
28,62,Ni,94,239,Pu,0,0,0,0,0,,,2024-11-18
28,63,Ni,94,239,Pu,0,0,0,0,0,,,2024-11-18
28,64,Ni,94,239,Pu,0,0.0000000000089992,0.0000000000035523,0.0000000000070808,0.0000000000028243,,,2024-11-18
28,65,Ni,94,239,Pu,0,0.00000000011484,0.000000000042823,0.00000000012549,0.00000000004836,,,2024-11-18
28,66,Ni,94,239,Pu,0,0.0000000011322,0.00000000037037,0.0000000017077,0.00000000062134,,,2024-11-18
28,67,Ni,94,239,Pu,0,0.0000000057488,0.0000000015626,0.000000011159,0.0000000036723,,,2024-11-18
28,68,Ni,94,239,Pu,0,0.000000023306,0.0000000045874,0.000000060323,0.000000014113,,,2024-11-18
28,69,Ni,94,239,Pu,0,0.000000028755,0.0000000056865,0.000000087035,0.000000017463,,,2024-11-18
28,69,Ni,94,239,Pu,1,0.000000028755,0.0000000056865,0.000000087035,0.000000017463,,,2024-11-18
28,70,Ni,94,239,Pu,0,0.00000011625,0.000000027177,0.00000040618,0.00000008556,,,2024-11-18
28,71,Ni,94,239,Pu,0,0.00000013405,0.000000042911,0.00000052225,0.00000015823,,,2024-11-18
28,72,Ni,94,239,Pu,0,0.00000012116,0.000000043618,0.00000055546,0.00000019432,,,2024-11-18
28,73,Ni,94,239,Pu,0,0.000000066477,0.000000025678,0.00000028226,0.00000010756,,,2024-11-18
28,74,Ni,94,239,Pu,0,0.000000027781,0.00000001112,0.00000011225,0.000000044438,,,2024-11-18
28,75,Ni,94,239,Pu,0,0.0000000066907,0.000000002614,0.000000023271,0.0000000090937,,,2024-11-18
