Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
1,1,H,94,241,Pu,0,0.000029422,0.000010059,0.000029422,0.000010059,,,2024-11-18
1,2,H,94,241,Pu,0,0.0000089917,0.0000030079,0.0000089917,0.0000030079,,,2024-11-18
1,3,H,94,241,Pu,0,0.000141,0.000020785,0.000141,0.000042732,,,2024-11-18
2,3,He,94,241,Pu,0,0,0,0,0,,,2024-11-18
2,4,He,94,241,Pu,0,0.00186,0.00020234,0.00186,0.00056246,,,2024-11-18
24,58,Cr,94,241,Pu,0,0.0000000000012507,0.00000000000041025,0.0000000000015819,0.00000000000055002,,,2024-11-18
24,59,Cr,94,241,Pu,0,0.0000000000039372,0.0000000000012693,0.0000000000057627,0.0000000000018902,,,2024-11-18
24,60,Cr,94,241,Pu,0,0.000000000010211,0.0000000000034711,0.00000000001713,0.0000000000057436,,,2024-11-18
24,61,Cr,94,241,Pu,0,0.000000000014656,0.0000000000059688,0.000000000028284,0.000000000011315,,,2024-11-18
24,62,Cr,94,241,Pu,0,0.000000000016669,0.0000000000073549,0.000000000039043,0.000000000017027,,,2024-11-18
24,63,Cr,94,241,Pu,0,0.0000000000090783,0.0000000000042226,0.000000000026018,0.000000000012006,,,2024-11-18
24,64,Cr,94,241,Pu,0,0.0000000000037874,0.0000000000018168,0.000000000013717,0.0000000000065018,,,2024-11-18
25,58,Mn,94,241,Pu,0,0,0,0,0,,,2024-11-18
25,59,Mn,94,241,Pu,0,0.0000000000010675,0.00000000000046885,0.0000000000013633,0.00000000000060251,,,2024-11-18
25,60,Mn,94,241,Pu,0,0.00000000000059658,0.00000000000023924,0.00000000000077911,0.00000000000031828,,,2024-11-18
25,60,Mn,94,241,Pu,1,0.0000000000052985,0.0000000000021248,0.0000000000079261,0.0000000000032379,,,2024-11-18
25,61,Mn,94,241,Pu,0,0.000000000028559,0.0000000000096839,0.000000000048413,0.000000000016535,,,2024-11-18
25,62,Mn,94,241,Pu,0,0.000000000059984,0.000000000021063,0.00000000012436,0.000000000041755,,,2024-11-18
25,62,Mn,94,241,Pu,1,0.000000000010769,0.0000000000037813,0.000000000019475,0.000000000006539,,,2024-11-18
25,63,Mn,94,241,Pu,0,0.00000000014062,0.000000000054756,0.00000000034389,0.00000000012402,,,2024-11-18
25,64,Mn,94,241,Pu,0,0.00000000014176,0.000000000064021,0.00000000043091,0.00000000018543,,,2024-11-18
25,65,Mn,94,241,Pu,0,0.00000000013214,0.000000000060883,0.00000000047635,0.00000000021545,,,2024-11-18
25,66,Mn,94,241,Pu,0,0.000000000059844,0.000000000027783,0.00000000025739,0.00000000011951,,,2024-11-18
25,67,Mn,94,241,Pu,0,0.000000000020564,0.0000000000096362,0.00000000010922,0.000000000051543,,,2024-11-18
25,68,Mn,94,241,Pu,0,0.000000000003296,0.0000000000015472,0.000000000023116,0.000000000010811,,,2024-11-18
26,58,Fe,94,241,Pu,0,0,0,0,0,,,2024-11-18
26,59,Fe,94,241,Pu,0,0,0,0,0,,,2024-11-18
26,60,Fe,94,241,Pu,0,0,0,0,0,,,2024-11-18
26,61,Fe,94,241,Pu,0,0.0000000000055814,0.0000000000024903,0.0000000000056816,0.0000000000025959,,,2024-11-18
