Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0517,0.000,0.000,0.000,0.000,0.052,0.005
15,10.185,0.000,0.000,0.000,0.000,10.284,1.536
20,37.601,0.000,0.000,0.000,0.000,39.043,7.659
25,59.763,0.000,0.000,0.000,0.000,64.103,15.472
30,73.108,0.006,0.007,0.000,0.000,79.551,23.015
35,63.695,0.004,0.004,0.000,0.000,89.038,30.056
40,69.499,0.000,0.000,0.000,0.000,94.995,36.721
45,73.934,0.000,0.000,0.000,0.000,99.183,43.078
50,77.432,0.001,0.000,0.000,0.000,111.879,51.045
55,80.241,0.002,0.002,0.000,0.000,115.176,57.000
60,82.523,0.006,0.005,0.000,0.000,116.498,62.638
70,85.913,0.028,0.028,0.000,0.000,112.728,73.535
80,88.178,0.092,0.090,0.000,0.000,122.774,86.381
90,89.652,0.222,0.219,0.000,0.000,118.507,97.546
100,90.549,0.445,0.437,0.000,0.000,122.172,109.439
120,91.115,1.230,1.187,0.000,0.000,127.134,132.169
150,89.088,3.443,3.222,0.000,0.000,132.470,163.433
180,83.345,7.002,6.385,0.000,0.000,135.922,188.199
200,77.729,9.896,8.909,0.000,0.000,134.950,199.371
220,71.428,12.918,11.515,0.000,0.000,129.699,204.632
240,64.799,15.863,14.026,0.000,0.000,126.083,207.129
260,58.644,18.596,16.335,0.000,0.000,121.443,207.923
280,52.973,21.052,18.390,0.000,0.000,113.539,206.136
300,47.865,23.211,20.181,0.000,0.000,107.399,202.437
330,41.262,25.912,22.399,0.000,0.000,102.475,201.985
370,34.219,28.633,24.612,0.000,0.000,97.008,200.894
400,30.018,30.143,25.833,0.000,0.000,93.619,200.832
450,24.570,31.910,27.251,0.000,0.000,89.837,202.554
500,20.540,33.005,28.127,0.000,0.000,83.429,203.352
550,17.499,33.638,28.637,0.000,0.000,82.666,208.068
600,15.149,33.962,28.899,0.000,0.000,75.104,208.554
650,13.294,34.075,28.996,0.000,0.000,71.966,211.890
700,11.807,34.040,28.973,0.000,0.000,69.322,217.073
760,10.375,33.865,28.848,0.000,0.000,70.549,227.522
830,9.0530,33.544,28.604,0.000,0.000,66.281,235.861
910,7.8770,33.079,28.248,0.000,0.000,64.655,247.935
1000,6.8547,32.485,27.796,0.000,0.000,63.052,261.806
1100,5.9785,31.783,27.252,0.002,0.007,61.496,277.380
1200,5.2842,31.066,26.693,0.011,0.035,60.227,292.875
1300,4.7176,30.353,26.143,0.027,0.087,59.023,307.693
1400,4.2479,29.653,25.596,0.050,0.161,58.350,323.320
1500,3.8488,28.974,25.063,0.080,0.258,58.162,339.480
1600,3.5017,28.323,24.548,0.119,0.383,58.006,355.378
1700,3.1951,27.708,24.061,0.159,0.512,57.952,371.415
1800,2.9225,27.130,23.601,0.200,0.640,57.925,387.279
1900,2.6760,26.590,23.170,0.239,0.768,58.066,403.740
2000,2.4514,26.088,22.770,0.278,0.893,58.125,419.452
2200,2.0552,25.193,22.056,0.352,1.130,58.569,452.088
2400,1.7138,24.432,21.460,0.420,1.349,59.076,484.465
2600,1.4129,23.794,20.959,0.482,1.548,59.664,516.214
2800,1.1442,23.263,20.543,0.538,1.727,60.102,547.112
3000,1.1138,22.625,20.042,0.586,1.881,61.012,596.548
3500,0.5838,22.224,19.490,0.635,2.037,62.652,689.622
4000,0.1488,22.216,19.249,0.655,2.101,64.293,782.060
4500,0.1273,22.452,19.222,0.659,2.114,66.656,911.141
5000,0.1116,22.845,19.352,0.654,2.099,68.522,1026.272
6000,0.0907,23.870,19.889,0.637,2.044,73.488,1327.333
7000,0.0783,25.013,20.614,0.623,1.998,77.643,1617.242
8000,0.0708,26.140,21.379,0.616,1.976,82.143,1968.117
10000,0.0640,28.185,22.820,0.625,2.005,90.359,2659.919
12000,0.0629,29.908,24.043,0.655,2.103,98.575,3495.607
20000,0.0759,34.933,27.491,0.855,2.743,136.408,8584.799
50000,0.1287,44.732,33.478,1.475,4.733,269.104,44111.160
100000,0.1784,51.400,36.753,2.045,6.564,562.679,193998.750
