Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.3429,0.000,0.000,0.000,0.000,0.343,0.051
20,8.7293,0.000,0.000,0.000,0.000,8.791,1.756
25,27.475,0.000,0.000,0.000,0.000,28.452,7.068
30,45.246,0.000,0.000,0.000,0.000,49.766,14.669
35,45.759,0.000,0.000,0.000,0.000,68.310,23.187
40,54.247,0.000,0.000,0.000,0.000,83.139,31.903
45,60.661,0.000,0.000,0.000,0.000,94.515,40.413
50,65.592,0.000,0.000,0.000,0.000,105.280,49.242
55,69.449,0.000,0.000,0.000,0.000,110.067,56.542
60,72.516,0.000,0.000,0.000,0.000,114.733,64.140
70,76.997,0.001,0.000,0.000,0.000,121.156,78.929
80,80.021,0.006,0.004,0.000,0.000,129.455,94.832
90,82.122,0.021,0.018,0.000,0.000,130.469,107.994
100,83.614,0.058,0.054,0.000,0.000,133.911,122.267
120,85.451,0.262,0.253,0.000,0.000,142.036,151.971
150,86.235,1.066,1.017,0.000,0.000,145.190,190.514
180,85.550,2.602,2.397,0.000,0.000,152.781,229.514
200,84.271,4.052,3.643,0.000,0.000,154.131,251.844
220,82.340,5.821,5.120,0.000,0.000,152.124,267.888
240,79.822,7.849,6.775,0.000,0.000,150.787,281.803
260,76.850,10.050,8.537,0.000,0.000,149.635,294.629
280,73.600,12.335,10.334,0.000,0.000,145.600,301.823
300,70.224,14.624,12.106,0.000,0.000,138.305,303.944
330,65.183,17.935,14.625,0.000,0.000,141.469,320.813
370,58.870,21.950,17.607,0.000,0.000,140.609,331.764
400,54.566,24.620,19.531,0.000,0.000,139.444,341.495
450,48.311,28.389,22.183,0.000,0.000,135.656,354.009
500,43.109,31.402,24.250,0.000,0.000,127.528,358.264
550,38.750,33.796,25.851,0.000,0.000,127.736,373.835
600,35.127,35.698,27.090,0.000,0.000,117.372,372.381
650,32.065,37.213,28.047,0.000,0.000,113.087,379.707
700,29.563,38.303,28.794,0.000,0.000,105.150,383.263
760,27.080,39.243,29.473,0.000,0.000,109.899,408.814
830,24.671,40.014,30.049,0.000,0.000,103.481,419.381
910,22.428,40.560,30.483,0.000,0.000,100.971,439.310
1000,20.393,40.867,30.769,0.000,0.000,99.154,462.640
1100,18.565,40.940,30.896,0.006,0.004,96.359,487.430
1200,17.074,40.802,30.891,0.034,0.024,93.779,511.949
1300,15.824,40.522,30.787,0.086,0.060,91.212,535.415
1400,14.729,40.167,30.607,0.163,0.115,87.028,556.350
1500,13.766,39.747,30.373,0.266,0.187,87.866,584.462
1600,12.925,39.258,30.073,0.403,0.283,84.780,605.808
1700,12.181,38.739,29.748,0.548,0.385,85.127,631.861
1800,11.515,38.205,29.410,0.699,0.491,82.666,653.268
1900,10.914,37.669,29.068,0.853,0.600,83.118,679.650
2000,10.367,37.137,28.725,1.009,0.709,82.104,702.089
2200,9.4193,36.096,28.058,1.320,0.927,80.651,749.468
2400,8.6303,35.103,27.417,1.623,1.141,79.536,796.851
2600,7.9486,34.191,26.834,1.916,1.347,77.622,839.496
2800,7.2822,33.433,26.297,2.195,1.543,76.585,882.227
3000,7.1415,32.314,25.580,2.455,1.726,77.119,954.630
3500,5.8584,31.694,24.576,2.814,1.978,75.937,1082.397
4000,4.8255,31.587,23.853,3.047,2.142,74.675,1196.159
4500,3.9676,31.834,23.374,3.191,2.243,75.141,1356.599
5000,3.2229,32.330,23.086,3.274,2.301,74.376,1469.159
6000,1.9487,33.749,22.961,3.333,2.342,76.054,1828.701
7000,1.2844,35.298,23.267,3.325,2.337,75.959,2117.526
8000,1.2519,36.895,23.831,3.299,2.319,78.955,2584.271
10000,1.2090,39.887,25.280,3.259,2.291,80.471,3241.684
12000,1.1928,42.502,26.868,3.259,2.291,85.186,4251.610
20000,1.2661,50.301,32.357,3.539,2.488,105.045,9371.314
50000,1.7289,63.892,41.433,4.887,3.435,147.362,30089.012
100000,2.2611,70.879,44.601,6.399,4.498,185.888,66459.031
