Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0517,0.000,0.000,0.000,0.000,0.052,0.005
15,10.185,0.000,0.000,0.000,0.000,10.337,1.548
20,37.601,0.000,0.000,0.000,0.000,38.228,7.633
25,59.765,0.000,0.000,0.000,0.000,60.811,15.180
30,73.118,0.000,0.000,0.000,0.000,74.471,22.308
35,63.703,0.000,0.000,0.000,0.000,82.511,28.835
40,69.510,0.000,0.000,0.000,0.000,87.395,34.903
45,73.956,0.000,0.000,0.000,0.000,90.509,40.662
50,77.466,0.000,0.000,0.000,0.000,92.635,46.230
55,80.291,0.000,0.000,0.000,0.000,94.110,51.656
60,82.593,0.000,0.000,0.000,0.000,95.182,56.983
70,86.032,0.001,0.000,0.000,0.000,96.053,67.081
80,88.376,0.006,0.004,0.000,0.000,96.942,77.337
90,89.974,0.022,0.018,0.000,0.000,97.261,87.298
100,91.049,0.063,0.054,0.000,0.000,97.556,97.209
120,92.146,0.282,0.251,0.000,0.000,97.673,116.542
150,91.779,1.132,1.003,0.000,0.000,97.128,143.816
180,89.837,2.722,2.342,0.000,0.000,96.395,168.968
200,87.712,4.201,3.535,0.000,0.000,95.662,183.942
220,84.989,5.983,4.937,0.000,0.000,94.561,196.943
240,81.769,8.005,6.495,0.000,0.000,93.229,207.984
260,78.198,10.180,8.143,0.000,0.000,91.733,217.218
280,74.454,12.421,9.815,0.000,0.000,90.084,224.791
300,70.679,14.651,11.457,0.000,0.000,88.230,230.518
330,65.185,17.852,13.779,0.000,0.000,85.929,238.587
370,58.469,21.698,16.512,0.000,0.000,82.980,247.159
400,53.967,24.236,18.268,0.000,0.000,80.913,252.690
450,47.508,27.789,20.679,0.000,0.000,77.936,261.530
500,42.198,30.599,22.548,0.000,0.000,75.275,270.047
550,37.816,32.809,23.986,0.000,0.000,73.008,278.976
600,34.142,34.545,25.097,0.000,0.000,71.030,288.251
650,31.077,35.912,25.949,0.000,0.000,69.265,297.855
700,28.581,36.871,26.608,0.000,0.000,67.642,308.120
760,26.114,37.674,27.204,0.000,0.000,65.882,320.959
830,23.729,38.308,27.703,0.000,0.000,64.018,336.185
910,21.515,38.724,28.070,0.000,0.000,62.113,353.855
1000,19.513,38.910,28.302,0.000,0.000,60.210,373.935
1100,17.721,38.876,28.388,0.006,0.004,58.325,396.710
1200,16.263,38.656,28.359,0.032,0.022,56.659,419.414
1300,15.044,38.314,28.242,0.081,0.056,55.154,441.578
1400,13.980,37.911,28.059,0.154,0.107,53.912,463.770
1500,13.048,37.456,27.828,0.252,0.175,52.905,485.901
1600,12.236,36.945,27.541,0.381,0.264,52.046,507.667
1700,11.518,36.412,27.232,0.517,0.359,51.292,529.201
1800,10.878,35.869,26.913,0.659,0.457,50.649,550.749
1900,10.300,35.330,26.591,0.803,0.557,50.219,573.250
2000,9.7772,34.798,26.270,0.949,0.658,49.711,594.207
2200,8.8711,33.768,25.647,1.239,0.860,49.159,638.947
2400,8.1178,32.795,25.051,1.523,1.056,48.880,684.489
2600,7.4686,31.906,24.510,1.795,1.245,48.678,727.822
2800,6.8371,31.167,24.013,2.055,1.425,48.232,768.748
3000,6.7014,30.094,23.353,2.296,1.593,48.560,836.332
3500,5.4937,29.464,22.426,2.628,1.822,48.675,959.500
4000,4.5255,29.326,21.760,2.842,1.971,48.545,1070.756
4500,3.7237,29.528,21.319,2.974,2.062,49.897,1226.963
5000,3.0295,29.966,21.054,3.049,2.115,49.936,1339.628
6000,1.8450,31.251,20.938,3.101,2.151,53.075,1694.398
7000,1.2071,32.668,21.218,3.094,2.145,54.458,1986.449
8000,1.1766,34.135,21.735,3.069,2.128,58.353,2451.791
10000,1.1364,36.894,23.065,3.031,2.102,61.914,3137.641
12000,1.1213,39.312,24.525,3.031,2.102,68.594,4175.742
20000,1.1913,46.575,29.593,3.293,2.284,94.526,9508.223
50000,1.6332,59.477,38.093,4.565,3.166,160.592,33854.211
100000,2.1441,66.268,41.155,6.000,4.161,163.533,35181.656
