Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
20,0.0005,0.000,0.000,0.000,0.000,0.001,0.000
25,0.0209,0.000,0.000,0.000,0.000,0.025,0.006
30,0.1360,0.000,0.000,0.000,0.000,0.163,0.048
35,0.4221,0.000,0.000,0.000,0.000,0.518,0.176
40,1.0234,0.000,0.000,0.000,0.000,1.293,0.497
45,2.3718,0.000,0.000,0.000,0.000,3.261,1.342
50,4.9709,0.001,0.001,0.000,0.000,7.661,3.266
55,8.9309,0.005,0.004,0.000,0.000,15.656,6.874
60,13.925,0.014,0.016,0.000,0.000,27.831,12.604
70,25.058,0.081,0.098,0.000,0.000,53.141,27.139
80,35.353,0.265,0.323,0.000,0.000,76.651,44.838
90,43.652,0.618,0.731,0.000,0.000,94.571,62.968
100,49.899,1.161,1.324,0.000,0.000,108.204,80.715
120,57.419,2.848,2.986,0.000,0.000,124.042,112.015
150,60.455,6.848,6.435,0.000,0.000,135.127,148.280
180,58.111,12.006,10.435,0.000,0.000,140.051,176.807
200,55.245,15.596,13.028,0.000,0.000,143.016,193.619
220,52.045,19.046,15.400,0.000,0.000,140.220,202.709
240,48.835,22.244,17.500,0.000,0.000,137.398,209.865
260,45.790,25.133,19.328,0.000,0.000,134.994,216.985
280,42.975,27.710,20.903,0.000,0.000,130.613,220.896
300,40.412,29.991,22.258,0.000,0.000,126.735,224.725
330,37.026,32.916,23.948,0.000,0.000,124.587,234.819
370,33.312,35.992,25.697,0.000,0.000,120.236,244.121
400,31.080,37.743,26.714,0.000,0.000,118.847,254.770
450,28.076,39.959,28.009,0.000,0.000,117.491,273.714
500,25.746,41.521,28.947,0.000,0.000,111.589,286.673
550,23.904,42.613,29.659,0.000,0.000,113.122,309.032
600,22.426,43.358,30.193,0.000,0.000,104.638,317.773
650,21.218,43.850,30.589,0.000,0.000,102.300,334.662
700,20.092,44.277,30.878,0.000,0.000,100.115,351.566
760,18.903,44.648,31.128,0.000,0.000,102.390,378.381
830,17.731,44.893,31.333,0.000,0.000,96.200,396.715
910,16.610,44.989,31.476,0.000,0.000,94.080,423.966
1000,15.589,44.900,31.528,0.000,0.000,91.908,454.125
1100,14.657,44.643,31.476,0.002,0.002,89.637,487.311
1200,13.875,44.267,31.364,0.013,0.011,87.463,519.442
1300,13.206,43.801,31.182,0.035,0.028,85.460,550.685
1400,12.477,43.082,30.791,0.067,0.054,83.358,577.912
1500,11.764,42.254,30.312,0.110,0.088,81.158,602.369
1600,11.124,41.405,29.798,0.172,0.138,79.482,626.683
1700,10.545,40.566,29.284,0.239,0.192,77.616,650.278
1800,10.016,39.744,28.783,0.310,0.248,76.130,673.801
1900,9.5302,38.946,28.304,0.382,0.306,74.573,697.234
2000,9.0851,38.169,27.823,0.455,0.365,73.159,719.086
2200,8.2985,36.689,26.888,0.604,0.483,70.824,764.159
2400,7.6244,35.310,26.002,0.750,0.601,68.827,808.110
2600,7.0317,34.042,25.192,0.893,0.715,67.136,848.377
2800,6.7078,33.563,24.677,0.921,0.738,65.868,898.422
3000,6.3107,32.875,24.108,1.033,0.827,64.916,952.074
3500,4.7409,32.624,23.021,1.191,0.954,63.230,1075.364
4000,3.3601,32.740,22.123,1.304,1.044,61.719,1182.367
4500,2.1189,33.135,21.395,1.382,1.106,61.824,1328.542
5000,2.1685,33.742,20.822,1.433,1.147,61.913,1485.338
6000,2.2728,35.093,20.059,1.511,1.210,65.252,1938.363
7000,2.3209,34.841,19.672,1.549,1.240,64.440,2225.169
8000,2.3441,34.569,19.600,1.568,1.256,65.796,2627.973
10000,2.3699,34.224,19.955,1.590,1.273,65.025,3178.182
12000,2.3953,35.768,20.692,1.610,1.289,829.007,71452.031
20000,2.5764,40.892,24.247,1.737,1.391,90.653,8786.489
50000,3.3143,51.933,32.828,2.238,1.792,122.040,26407.838
100000,4.1618,58.640,37.683,2.812,2.251,154.949,57261.145
