baseline,process,native_coefficients_before,retained_coefficients_before,scalar_encoding_before,coefficient_bytes_before,grid_bytes_before,metadata_bytes_before,compiled_rodata_bytes_before,nodes_min_before,nodes_median_before,nodes_p95_before,nodes_max_before,native_coefficients_after,retained_coefficients_after,scalar_encoding_after,coefficient_bytes_after,grid_bytes_after,metadata_bytes_after,compiled_rodata_bytes_after,nodes_min_after,nodes_median_after,nodes_p95_after,nodes_max_after,absolute_byte_change,percentage_byte_change,p95_interpolation_error_percent,maximum_interpolation_error_percent
main,rayleigh,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,10413,37604,"one adaptive float32 log10(argument) grid per 4 adjacent elements, per-curve affine uint16 log10(value)",75208,38264,888,114360,317,386.0,415.0,418,96048,524.5085190039318,0.06274298565927908,0.09996258587016138
main,compton,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,8288,3693,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",7386,7386,1176,15948,35,37.0,40.14999999999999,43,-2364,-12.90956749672346,0.07406374885263442,0.09981729046959487
main,pair_production,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,38505,21983,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",43966,43966,1176,89108,192,225.0,239.0,243,70796,386.609873307121,0.037135043905252504,0.04999976514326043
main,photoelectric,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,406218,5588,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",11176,11176,1176,23528,43,57.0,65.0,70,5216,28.484054172127568,0.07681544751499485,0.09998779666894331
main,k_photoelectric,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,25061,4677,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",9354,9354,1176,19884,38,48.0,55.0,60,1572,8.584534731323723,0.08337499734606756,0.09998785265387111
main,form_factor,1656,1656,float32,6624,0,0,6624,18,18.0,18.0,18,106810,0,generator-only adaptive EPDL curve; not emitted at runtime,0,0,0,0,0,0.0,0.0,0,-6624,-100.0,0.07358968526450377,0.0999979189460154
main,scattering_function,1656,1656,float32,6624,0,0,6624,18,18.0,18.0,18,17376,9201,"float32 log10(argument), per-curve affine uint16 log10(value), linear-value interpolation",18402,36804,1176,56382,75,95.0,102.0,103,49758,751.177536231884,0.08147705821154298,0.09999616553626467
main,bremsstrahlung,79488,79488,float32,317952,236,4,318192,27,27.0,27.0,27,79488,79488,uint16 with one float32 scale per element,158976,236,372,159584,27,27.0,27.0,27,-158608,-49.84663347915724,0.01005099208172926,0.24309168793413188
main,collision_stopping,180,180,float32 correction ratio,720,0,0,720,15,15.0,15.0,15,4876,4876,per-element affine uint16(log10 value),9752,0,736,10488,53,53.0,53.0,53,9768,1356.6666666666667,0.0016573593232926953,0.0019461497520634197
main,radiative_stopping,180,180,float32 correction ratio,720,0,0,720,15,15.0,15.0,15,4876,4876,per-element affine uint16(log10 value),9752,0,736,10488,53,53.0,53.0,53,9768,1356.6666666666667,0.0034005350736832085,0.004002043738426941
