baseline,process,native_coefficients_before,retained_coefficients_before,scalar_encoding_before,coefficient_bytes_before,grid_bytes_before,metadata_bytes_before,compiled_rodata_bytes_before,nodes_min_before,nodes_median_before,nodes_p95_before,nodes_max_before,native_coefficients_after,retained_coefficients_after,scalar_encoding_after,coefficient_bytes_after,grid_bytes_after,metadata_bytes_after,compiled_rodata_bytes_after,nodes_min_after,nodes_median_after,nodes_p95_after,nodes_max_after,absolute_byte_change,percentage_byte_change,p95_interpolation_error_percent,maximum_interpolation_error_percent
main,K_relaxation,1288,1288,float32,5152,0,368,5520,6,6.0,6.0,6,2154,2156,float32 variable-length,8624,0,2400,11024,0,12.0,16.0,16,5504,99.71014492753623,3.3969981161341423e-06,5.302432404263868e-06
main,L_relaxation,4300,4300,float32,17200,0,1200,18400,6,6.0,6.0,6,3083,3090,float32 variable-length,12360,0,7200,19560,0,0.0,18.19999999999999,23,1160,6.304347826086956,3.3969981161341423e-06,5.302432404263868e-06
feature/FullSpecApprox,rayleigh,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,10413,37604,"one adaptive float32 log10(argument) grid per 4 adjacent elements, per-curve affine uint16 log10(value)",75208,38264,888,114360,317,386.0,415.0,418,96048,524.5085190039318,0.06274298565927908,0.09996258587016138
feature/FullSpecApprox,compton,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,8288,3693,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",7386,7386,1176,15948,35,37.0,40.14999999999999,43,-2364,-12.90956749672346,0.07406374885263442,0.09981729046959487
feature/FullSpecApprox,pair_production,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,38505,21983,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",43966,43966,1176,89108,192,225.0,239.0,243,70796,386.609873307121,0.037135043905252504,0.04999976514326043
feature/FullSpecApprox,photoelectric,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,406218,5588,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",11176,11176,1176,23528,43,57.0,65.0,70,5216,28.484054172127568,0.07681544751499485,0.09998779666894331
feature/FullSpecApprox,k_photoelectric,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,25061,4677,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",9354,9354,1176,19884,38,48.0,55.0,60,1572,8.584534731323723,0.08337499734606756,0.09998785265387111
feature/FullSpecApprox,form_factor,1656,1656,float32,6624,0,0,6624,18,18.0,18.0,18,106810,0,generator-only adaptive EPDL curve; not emitted at runtime,0,0,0,0,0,0.0,0.0,0,-6624,-100.0,0.07358968526450377,0.0999979189460154
feature/FullSpecApprox,scattering_function,1656,1656,float32,6624,0,0,6624,18,18.0,18.0,18,17376,9201,"float32 log10(argument), per-curve affine uint16 log10(value), linear-value interpolation",18402,36804,1176,56382,75,95.0,102.0,103,49758,751.177536231884,0.08147705821154298,0.09999616553626467
feature/FullSpecApprox,bremsstrahlung,76544,76544,uint16,153088,232,372,153692,26,26.0,26.0,26,79488,79488,uint16 with one float32 scale per element,158976,236,372,159584,27,27.0,27.0,27,5892,3.833641308591208,0.01005099208172926,0.24309168793413188
feature/FullSpecApprox,collision_stopping,180,180,float32 correction ratio,720,0,0,720,15,15.0,15.0,15,4876,4876,per-element affine uint16(log10 value),9752,0,736,10488,53,53.0,53.0,53,9768,1356.6666666666667,0.0016573593232926953,0.0019461497520634197
feature/FullSpecApprox,radiative_stopping,180,180,float32 correction ratio,720,0,0,720,15,15.0,15.0,15,4876,4876,per-element affine uint16(log10 value),9752,0,736,10488,53,53.0,53.0,53,9768,1356.6666666666667,0.0034005350736832085,0.004002043738426941
feature/FullSpecApprox,K_relaxation,1288,1288,float32,5152,0,368,5520,6,6.0,6.0,6,2154,2156,float32 variable-length,8624,0,2400,11024,0,12.0,16.0,16,5504,99.71014492753623,3.3969981161341423e-06,5.302432404263868e-06
feature/FullSpecApprox,L_relaxation,4300,4300,float32,17200,0,1200,18400,6,6.0,6.0,6,3083,3090,float32 variable-length,12360,0,7200,19560,0,0.0,18.19999999999999,23,1160,6.304347826086956,3.3969981161341423e-06,5.302432404263868e-06
feature/env-scatter,rayleigh,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,10413,37604,"one adaptive float32 log10(argument) grid per 4 adjacent elements, per-curve affine uint16 log10(value)",75208,38264,888,114360,317,386.0,415.0,418,96048,524.5085190039318,0.06274298565927908,0.09996258587016138
feature/env-scatter,compton,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,8288,3693,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",7386,7386,1176,15948,35,37.0,40.14999999999999,43,-2364,-12.90956749672346,0.07406374885263442,0.09981729046959487
feature/env-scatter,pair_production,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,38505,21983,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",43966,43966,1176,89108,192,225.0,239.0,243,70796,386.609873307121,0.037135043905252504,0.04999976514326043
feature/env-scatter,photoelectric,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,406218,5588,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",11176,11176,1176,23528,43,57.0,65.0,70,5216,28.484054172127568,0.07681544751499485,0.09998779666894331
feature/env-scatter,k_photoelectric,4578,4578,float32,18312,0,0,18312,46,48.0,61.45,76,25061,4677,"shared float32 log10(argument) pool with uint16 indices, per-curve affine uint16 log10(value)",9354,9354,1176,19884,38,48.0,55.0,60,1572,8.584534731323723,0.08337499734606756,0.09998785265387111
feature/env-scatter,form_factor,1656,1656,float32,6624,0,0,6624,18,18.0,18.0,18,106810,0,generator-only adaptive EPDL curve; not emitted at runtime,0,0,0,0,0,0.0,0.0,0,-6624,-100.0,0.07358968526450377,0.0999979189460154
feature/env-scatter,scattering_function,1656,1656,float32,6624,0,0,6624,18,18.0,18.0,18,17376,9201,"float32 log10(argument), per-curve affine uint16 log10(value), linear-value interpolation",18402,36804,1176,56382,75,95.0,102.0,103,49758,751.177536231884,0.08147705821154298,0.09999616553626467
feature/env-scatter,bremsstrahlung,76544,76544,uint16,153088,232,372,153692,26,26.0,26.0,26,79488,79488,uint16 with one float32 scale per element,158976,236,372,159584,27,27.0,27.0,27,5892,3.833641308591208,0.01005099208172926,0.24309168793413188
feature/env-scatter,collision_stopping,180,180,float32 correction ratio,720,0,0,720,15,15.0,15.0,15,4876,4876,per-element affine uint16(log10 value),9752,0,736,10488,53,53.0,53.0,53,9768,1356.6666666666667,0.0016573593232926953,0.0019461497520634197
feature/env-scatter,radiative_stopping,180,180,float32 correction ratio,720,0,0,720,15,15.0,15.0,15,4876,4876,per-element affine uint16(log10 value),9752,0,736,10488,53,53.0,53.0,53,9768,1356.6666666666667,0.0034005350736832085,0.004002043738426941
feature/env-scatter,K_relaxation,1288,1288,float32,5152,0,368,5520,6,6.0,6.0,6,2154,2156,float32 variable-length,8624,0,2400,11024,0,12.0,16.0,16,5504,99.71014492753623,3.3969981161341423e-06,5.302432404263868e-06
feature/env-scatter,L_relaxation,4300,4300,float32,17200,0,1200,18400,6,6.0,6.0,6,3083,3090,float32 variable-length,12360,0,7200,19560,0,0.0,18.19999999999999,23,1160,6.304347826086956,3.3969981161341423e-06,5.302432404263868e-06
