Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0000,0.000,0.000,0.000,0.000,0.000,0.000
15,0.0022,0.000,0.000,0.000,0.000,0.002,0.000
20,1.0019,0.000,0.000,0.000,0.000,1.070,0.213
25,8.9609,0.000,0.000,0.000,0.000,9.729,2.417
30,23.403,0.000,0.000,0.000,0.000,26.551,7.853
35,29.891,0.000,0.000,0.000,0.000,46.491,15.790
40,40.362,0.000,0.000,0.000,0.000,65.980,25.202
45,48.802,0.000,0.000,0.000,0.000,82.809,35.098
50,55.453,0.000,0.000,0.000,0.000,98.731,45.690
55,60.683,0.000,0.000,0.000,0.000,108.161,54.779
60,64.822,0.001,0.000,0.000,0.000,115.263,63.505
70,70.787,0.004,0.003,0.000,0.000,122.824,79.231
80,74.724,0.016,0.016,0.000,0.000,133.654,96.881
90,77.400,0.049,0.051,0.000,0.000,133.377,109.804
100,79.256,0.118,0.125,0.000,0.000,135.904,123.611
120,81.450,0.431,0.452,0.000,0.000,142.755,152.750
150,82.271,1.529,1.551,0.000,0.000,141.517,187.852
180,81.266,3.525,3.436,0.000,0.000,147.570,225.476
200,79.659,5.356,5.093,0.000,0.000,147.506,245.828
220,77.365,7.536,7.007,0.000,0.000,144.898,260.408
240,74.490,9.974,9.094,0.000,0.000,142.597,272.419
260,71.200,12.552,11.258,0.000,0.000,142.957,285.322
280,67.691,15.162,13.413,0.000,0.000,139.031,291.534
300,64.123,17.716,15.493,0.000,0.000,130.425,291.203
330,58.900,21.321,18.381,0.000,0.000,138.427,312.396
370,52.461,25.554,21.708,0.000,0.000,142.681,329.985
400,48.215,28.270,23.804,0.000,0.000,142.239,339.774
450,42.166,31.992,26.627,0.000,0.000,136.977,349.377
500,37.256,34.853,28.757,0.000,0.000,128.396,352.395
550,33.261,37.039,30.358,0.000,0.000,126.719,364.396
600,29.987,38.699,31.560,0.000,0.000,116.632,363.007
650,27.272,39.963,32.464,0.000,0.000,111.147,368.327
700,24.995,40.911,33.141,0.000,0.000,98.930,365.786
760,22.713,41.742,33.735,0.000,0.000,104.452,391.667
830,20.521,42.389,34.196,0.000,0.000,98.818,403.257
910,18.489,42.817,34.493,0.000,0.000,96.017,422.386
1000,16.656,43.014,34.637,0.000,0.000,95.226,447.123
1100,15.007,42.995,34.621,0.005,0.006,92.162,471.387
1200,13.656,42.793,34.475,0.028,0.034,89.236,495.068
1300,12.524,42.458,34.244,0.071,0.086,86.476,518.325
1400,11.578,42.007,33.935,0.135,0.162,81.116,537.314
1500,10.767,41.482,33.574,0.219,0.264,82.826,566.196
1600,10.056,40.902,33.170,0.331,0.399,78.534,585.261
1700,9.4253,40.305,32.750,0.449,0.541,79.557,612.266
1800,8.8627,39.704,32.335,0.571,0.688,76.398,632.329
1900,8.3557,39.107,31.912,0.695,0.837,77.278,659.140
2000,7.8934,38.524,31.499,0.819,0.987,76.102,681.122
2200,7.0803,37.415,30.715,1.065,1.283,74.260,727.085
2400,6.3850,36.396,30.003,1.304,1.571,72.757,772.756
2600,5.7899,35.467,29.354,1.531,1.844,70.490,814.412
2800,5.1984,34.705,28.772,1.745,2.102,69.353,856.102
3000,5.0949,33.622,27.975,1.942,2.340,69.827,928.517
3500,3.9512,33.029,26.972,2.200,2.650,68.209,1054.226
4000,3.0166,32.973,26.329,2.356,2.838,66.794,1169.326
4500,2.2294,33.280,25.948,2.443,2.943,66.924,1327.468
5000,1.5298,33.840,25.793,2.484,2.993,65.761,1438.733
6000,0.6777,35.390,25.977,2.492,3.003,67.253,1811.408
7000,0.6407,37.042,26.583,2.461,2.965,67.550,2142.566
8000,0.6126,38.713,27.394,2.425,2.921,69.888,2602.473
10000,0.5789,41.799,29.217,2.382,2.870,71.214,3303.177
12000,0.5668,44.432,30.994,2.387,2.876,75.184,4301.537
20000,0.6127,51.995,36.501,2.677,3.225,92.571,9366.198
50000,0.8917,64.393,44.318,3.956,4.766,123.648,29743.135
100000,1.1843,70.650,46.505,5.261,6.338,149.697,64322.066
